єва	j ɛ u̯ ɐ
обожнювати	ɔ b ɔ ʒ nʲ ʊ u̯ ɐ t e
обсерваторія	ɔ b s e r ʋ ɐ t ɔ rʲ i j ɐ
обставина	ɔ b s t ɑ u̯ e n ɐ
обсяг	ɔ b sʲ ɐ ɦ
огляд	ɔ ɦ lʲ ɐ d
однокласниця	ɔ d n ɔ k l ɑ s n e t͡sʲ ɐ
озеро	ɔ z e r ɔ
озерце	ɔ z ɛ r t͡s e
озерце	ɔ z e r t͡s ɛ
ознака	ɔ z n ɑ k ɐ
око	ɔ k ɔ
олівець	ɔ lʲ i u̯ ɛ t͡sʲ
олія	o lʲ i j ɐ
оладка	ɔ l ɑ d k ɐ
оладок	ɔ l ɑ d ɔ k
олександр	ɔ l e k s ɑ n d r
оман	ɔ m ɑ n
онук	o n u k
онука	o n u k ɐ
операція	ɔ p e r ɑ t͡sʲ i j ɐ
опозиція	ɔ p ɔ z ɪ t͡sʲ i j ɐ
оранжевий	ɔ r ɑ n ʒ e u̯ e i̯
осінній	ɔ s i nʲː i j
освіта	ɔ sʲ ʋʲ i t ɐ
основа	ɔ s n ɔ u̯ ɐ
особа	ɔ s ɔ b ɐ
особливість	ɔ s ɔ b l ɪ u̯ʲ i sʲ tʲ
останній	o s t ɑ nʲː i j
отець	ɔ t ɛ t͡sʲ
охорона	ɔ x ɔ r ɔ n ɐ
охоронець	ɔ x ɔ r ɔ n e t͡sʲ
оцінка	o t͡sʲ i n k ɐ
п'єса	p j ɛ s ɐ
п'яний	p j ɑ n e i̯
п'ятий	p j ɑ t e i̯
п'ятнадцять	p j ɐ t n ɑ d͡zʲ t͡sʲ ɐ tʲ
п'ятниця	p j ɑ t n e t͡sʲ ɐ
п'ять	p j ɑ tʲ
південноамериканський	pʲ i u̯ d e nː ɔ ɐ m e r e k ɑ nʲ sʲ k e i̯
півкуля	pʲ i u̯ k u lʲ ɐ
північноамериканський	pʲ i u̯ nʲ i t͡ʃ n ɔ ɐ m e r e k ɑ nʲ sʲ k e i̯
підвищення	pʲ i d ʋ ɪ ʃ t͡ʃ e nʲː ɐ
підготовка	pʲ i d ɦ ɔ t ɔ u̯ k ɐ
підземний	pʲ i d͡z z ɛ m n e i̯
підприємець	pʲ i d p r e j ɛ m e t͡sʲ
підприємство	pʲ i d p r e j ɛ m s t w ɔ
підручник	pʲ i d r u t͡ʃ n e k
підстава	pʲ i d͡z s t ɑ u̯ ɐ
підтримка	pʲ i d t r ɪ m k ɐ
підхід	pʲ i dʲ xʲ i d
піка	pʲ i k ɐ
післязавтра	pʲ i sʲ lʲ ɐ z ɑ u̯ t r ɐ
пісок	pʲ i s ɔ k
піч	pʲ i t͡ʃ
палац	p ɐ l ɑ t͡s
паливо	p ɑ l e u̯ ɔ
паморозь	p ɑ m ɔ r ɔ zʲ
панство	p ɑ n s t w ɔ
парламент	p ɐ r l ɑ m e n t
партнер	p ɐ r t n ɛ r
пелюшка	p e lʲ u ʃ k ɐ
пенсія	p ɛ nʲ sʲ i j ɐ
пенсильванія	p e n s e lʲ ʋ ɑ nʲ i j ɐ
перга	p e r ɦ ɑ
перевага	p e r e u̯ ɑ ɦ ɐ
переговори	p e r e ɦ ɔ u̯ ɔ r e
перемога	p e r e m ɔ ɦ ɐ
пересічний	p e r e sʲ i t͡ʃ n e i̯
пересічний	p e r e sʲ i t͡ʃ n ɪ i̯
перо	p e r ɔ
перспектива	p e r s p e k t ɪ u̯ ɐ
перший	p ɛ r ʃ e i̯
петро	p e t r ɔ
пивовар	p e u̯ ɔ u̯ ɑ r
пивоварство	p e u̯ ɔ u̯ ɑ r s t w ɔ
пиріг	p e rʲ i ɦ
писати	p e s ɑ t e
письменник	p e sʲ m ɛ nː e k
питання	p e t ɑ nʲː ɐ
питати	p e t ɑ t e
плакат	p l ɐ k ɑ t
плакати	p l ɑ k ɐ t e
плакати	p l ɐ k ɑ t e
план	p l ɑ n
плантація	p l ɐ n t ɑ t͡sʲ i j ɐ
плата	p l ɑ t ɐ
платити	p l ɐ t ɪ t e
плече	p l e t͡ʃ ɛ
площа	p l ɔ ʃ t͡ʃ ɐ
плутократіє	p l ʊ t ɔ k r ɑ tʲ i j e
плутократією	p l ʊ t ɔ k r ɑ tʲ i j e j ʊ
плутократії	p l ʊ t ɔ k r ɑ tʲ i j i
плутократій	p l ʊ t ɔ k r ɑ tʲ i i̯
плутократію	p l ʊ t ɔ k r ɑ tʲ i j ʊ
плутократія	p l ʊ t ɔ k r ɑ tʲ i j ɐ
плутократіям	p l ʊ t ɔ k r ɑ tʲ i j ɐ m
плутократіями	p l ʊ t ɔ k r ɑ tʲ i j ɐ m e
плутократіях	p l ʊ t ɔ k r ɑ tʲ i j ɐ x
плутократичний	p l ʊ t ɔ k r ɐ t ɪ t͡ʃ n e i̯
поєднання	p ɔ j e d n ɑ nʲː ɐ
поїзд	p ɔ j i z d
повний	p ɔ u̯ n e i̯
повноваження	p ɔ u̯ n ɔ u̯ ɑ ʒ e nʲː ɐ
погляд	p ɔ ɦ lʲ ɐ d
погляди	p ɔ ɦ lʲ ɐ d e
погроза	p ɔ ɦ r ɔ z ɐ
подія	p o dʲ i j ɐ
податок	p ɔ d ɑ t ɔ k
подобатися	p ɔ d ɔ b ɐ t e sʲ ɐ
подруга	p o d r u ɦ ɐ
позиція	p ɔ z ɪ t͡sʲ i j ɐ
показник	p ɔ k ɑ z n e k
покоління	p ɔ k o lʲ i nʲː ɐ
поліна	p o lʲ i n ɐ
політик	p o lʲ i t e k
політичний	p ɔ lʲ i t ɪ t͡ʃ n e i̯
половина	p ɔ l ɔ u̯ ɪ n ɐ
положення	p ɔ l ɔ ʒ e nʲː ɐ
полумисок	p o l u m e s ɔ k
помідор	p ɔ mʲ i d ɔ r
понеділок	p ɔ n e dʲ i l ɔ k
поняття	p ɔ nʲ ɑ tʲː ɐ
попіл	p ɔ pʲ i l
порошенко	p ɔ r ɔ ʃ ɛ n k ɔ
порушення	p o r u ʃ e nʲː ɐ
порядок	p ɔ rʲ ɑ d ɔ k
посібник	p o sʲ i b n e k
посада	p ɔ s ɑ d ɐ
послідовник	p ɔ sʲ lʲ i d ɔ u̯ n e k
послуга	p ɔ s l ʊ ɦ ɐ
послуга	p o s l u ɦ ɐ
посольство	p ɔ s ɔ lʲ s t w ɔ
постанова	p ɔ s t ɐ n ɔ u̯ ɐ
постанова	p ɔ s t ɐ n ɔ u̯ ɐ
потік	p o tʲ i k
потім	p ɔ tʲ i m
потенціал	p ɔ t e nʲ t͡sʲ i ɑ l
потреба	p ɔ t r ɛ b ɐ
потуга	p o t u ɦ ɐ
похіть	p ɔ xʲ i tʲ
початок	p ɔ t͡ʃ ɑ t ɔ k
пошук	p ɔ ʃ ʊ k
пріоритет	p rʲ i ɔ r e t ɛ t
правда	p r ɑ u̯ d ɐ
правило	p r ɑ u̯ e l ɔ
правило	p r ɐ u̯ ɪ l ɔ
практика	p r ɑ k t e k ɐ
працювати	p r ɐ t͡sʲ ʊ u̯ ɑ t e
праця	p r ɑ t͡sʲ ɐ
предмет	p r e d m ɛ t
представник	p r e d͡z s t ɐ u̯ n ɪ k
прем'єр	p r e m j ɛ r
прибуток	p r e b u t ɔ k
привід	p r ɪ u̯ʲ i d
привід	p r e u̯ʲ i d
приватний	p r e u̯ ɑ t n e i̯
приголосний	p r ɪ ɦ ɔ l ɔ s n e i̯
призначення	p r e z n ɑ t͡ʃ e nʲː ɐ
прийменник	p r e i̯ m ɛ nː e k
прийняття	p r e i̯ nʲ ɐ tʲː ɑ
прийти	p r e i̯ t ɪ
приклад	p r e k l ɑ d
приклад	p r ɪ k l ɐ d
приклад	p r ɪ k l ɐ d
принцип	p r ɪ n t͡s e p
прихильник	p r e x ɪ lʲ n e k
причина	p r e t͡ʃ ɪ n ɐ
проведення	p r ɔ u̯ ɛ d e nʲː ɐ
програмний	p r ɔ ɦ r ɑ m n e i̯
продукт	p r o d u k t
продукція	p r o d u k t͡sʲ i j ɐ
пропозиція	p r ɔ p ɔ z ɪ t͡sʲ i j ɐ
простір	p r ɔ sʲ tʲ i r
просьба	p r ɔ zʲ b ɐ
протест	p r ɔ t ɛ s t
професор	p r ɔ f ɛ s ɔ r
процедура	p r ɔ t͡s e d u r ɐ
птах	p t ɑ x
публікація	p ʊ b lʲ i k ɑ t͡sʲ i j ɐ
пуголовок	p u ɦ ɔ l ɔ u̯ ɔ k
пункт	p u n k t
пюпітр	pʲ ʊ pʲ i t r
пюре	pʲ ʊ r ɛ
рівень	rʲ i u̯ e nʲ
рідний	rʲ i d n e i̯
ріка	rʲ i k ɑ
річ	rʲ i t͡ʃ
річ	rʲ i t͡ʃ
річка	rʲ i t͡ʃ k ɐ
річниця	rʲ i t͡ʃ n ɪ t͡sʲ ɐ
рада	r ɑ d ɐ
радянський	r ɐ dʲ ɑ nʲ sʲ k e i̯
район	r ɐ j ɔ n
рамка	r ɑ m k ɐ
раса	r ɑ s ɐ
рахунок	r ɐ x u n ɔ k
рація	r ɑ t͡sʲ i j ɐ
реалізація	r e ɐ lʲ i z ɑ t͡sʲ i j ɐ
регіон	r e ɦʲ i ɔ n
регулювання	r e ɦ ʊ lʲ ʊ u̯ ɑ nʲː ɐ
режим	r e ʒ ɪ m
рейтинг	r ɛ i̯ t e n ɦ
республіка	r e s p u b lʲ i k ɐ
ресторан	r e s t ɔ r ɑ n
ресурс	r e s u r s
референдум	r e f e r ɛ n d ʊ m
реформа	r e f ɔ r m ɐ
реформування	r e f ɔ r m ʊ u̯ ɑ nʲː ɐ
рея	r ɛ j ɐ
риба	r ɪ b ɐ
рибка	r ɪ b k ɐ
ринок	r ɪ n ɔ k
робітник	r ɔ bʲ i t n ɪ k
робітниця	r ɔ bʲ i t n ɪ t͡sʲ ɐ
родина	r ɔ d ɪ n ɐ
розгляд	r ɔ z ɦ lʲ ɐ d
розмір	r o zʲ mʲ i r
розмір	r ɔ zʲ mʲ i r
розмова	r ɔ z m ɔ u̯ ɐ
розорений	r ɔ z ɔ r e n e i̯
розробка	r ɔ z r ɔ b k ɐ
розуміння	r ɔ z ʊ mʲ i nʲː ɐ
роль	r ɔ lʲ
роман	r ɔ m ɑ n
ропуха	r o p u x ɐ
російська	r o sʲ i i̯ sʲ k ɐ
рот	r ɔ t
рука	r ʊ k ɑ
рукавиця	r ʊ k ɐ u̯ ɪ t͡sʲ ɐ
руський	r u sʲ k e i̯
рух	r u x
ряса	rʲ ɑ s ɐ
сіль	sʲ i lʲ
сільськогосподарський	sʲ i lʲ sʲ k ɔ ɦ ɔ s p ɔ d ɑ r sʲ k e i̯
сім	sʲ i m
сім'я	sʲ i m j ɐ
сім'я	sʲ i m j ɑ
сіни	sʲ i n e
сірий	sʲ i r e i̯
січень	sʲ i t͡ʃ e nʲ
сад	s ɑ d
самоврядування	s ɐ m ɔ u̯ rʲ ɐ d ʊ u̯ ɑ nʲː ɐ
самостійно	s ɐ m o sʲ tʲ i i̯ n ɔ
сантиметр	s ɐ n t e m ɛ t r
саудівський	s ɐ u dʲ i u̯ sʲ k e i̯
свічка	sʲ ʋʲ i t͡ʃ k ɐ
сват	s ʋ ɑ t
своє	s w ɔ j ɛ
свобода	s w ɔ b ɔ d ɐ
своя	s w ɔ j ɑ
свято	sʲ ʋʲ ɑ t ɔ
себе	s e b ɛ
сектор	s ɛ k t ɔ r
семінар	s e mʲ i n ɑ r
сенс	s ɛ n s
середа	s e r e d ɑ
середовище	s e r e d ɔ u̯ e ʃ t͡ʃ e
серенада	s e r e n ɑ d ɐ
серпень	s ɛ r p e nʲ
серце	s ɛ r t͡s e
сестра	s e s t r ɑ
сидіти	s e dʲ i t e
символічний	s e m w o lʲ i t͡ʃ n e i̯
син	s ɪ n
синій	s ɪ nʲ i i̯
скільки	sʲ kʲ i lʲ k ɪ
скарб	s k ɑ r b
скена	s k e n ɐ
скло	s k l ɔ
сковорода	s k ɔ u̯ ɔ r ɔ d ɑ
скоро	s k ɔ r ɔ
сліпий	s lʲ i p ɪ j
слов'янський	s l ɔ u̯ j ɑ nʲ sʲ k e i̯
служба	s l u ʒ b ɐ
сніг	sʲ nʲ i ɦ
соловей	s ɔ l ɔ u̯ ɛ i̯
соломія	s ɔ l o mʲ i j ɐ
сонце	s ɔ n t͡s e
сонце	s ɔ n t͡s e
сорочка	s ɔ r ɔ t͡ʃ k ɐ
софія	s ɔ fʲ i j ɐ
союз	s ɔ j u z
співати	sʲ pʲ i u̯ ɑ t e
співпраця	sʲ pʲ i u̯ p r ɑ t͡sʲ ɐ
співробітництво	sʲ pʲ i u̯ r o bʲ i t n e t͡s t w ɔ
спірний	sʲ pʲ i r n e i̯
спаса	s p ɑ s ɐ
спати	s p ɑ t e
справ	s p r ɑ u̯
справі	s p r ɑ u̯ʲ i
справа	s p r ɑ u̯ ɐ
справам	s p r ɑ u̯ ɐ m
справами	s p r ɑ u̯ ɐ m e
справах	s p r ɑ u̯ ɐ x
справжній	s p r ɑ u̯ ʒ nʲ i i̯
справи	s p r ɑ u̯ e
справо	s p r ɑ u̯ ɔ
справою	s p r ɑ u̯ ɔ j ʊ
справу	s p r ɑ u̯ ʊ
спроба	s p r ɔ b ɐ
срібло	sʲ rʲ i b l ɔ
стіна	sʲ tʲ i n ɑ
ставлення	s t ɑ u̯ l e nʲː ɐ
стандарт	s t ɐ n d ɑ r t
стаття	s t ɐ tʲː ɑ
статус	s t ɑ t ʊ s
створення	s t w ɔ r e nʲː ɐ
степ	s t ɛ p
стефанія	s t e f ɑ nʲ i j ɐ
століття	s t o lʲ i tʲː ɐ
столиця	s t ɔ l ɪ t͡sʲ ɐ
сторона	s t ɔ r ɔ n ɑ
страва	s t r ɑ u̯ ɐ
стратегія	s t r ɐ t ɛ ɦʲ i j ɐ
страшний	s t r ɐ ʃ n ɪ i̯
структура	s t r ʊ k t u r ɐ
стяг	sʲ tʲ ɑ ɦ
суб'єкт	s ʊ b j ɛ k t
суб'єкт	s ʊ b j ɛ k t
субота	s ʊ b ɔ t ɐ
супруг	s ʊ p r u ɦ
супруга	s ʊ p r u ɦ ɐ
супругам	s ʊ p r u ɦ ɐ m
супругами	s ʊ p r u ɦ ɐ m e
супругах	s ʊ p r u ɦ ɐ x
супруги	s ʊ p r u ɦ e
супруго	s ʊ p r u ɦ ɔ
супругою	s ʊ p r u ɦ ɔ j ʊ
супругу	s ʊ p r u ɦ ʊ
супрузі	s ʊ p r u zʲ i
сусанна	s ʊ s ɑ nː ɐ
суть	s u tʲ
схід	sʲ xʲ i d
схід	sʲ xʲ i d
східний	sʲ xʲ i d n e i̯
схема	s x ɛ m ɐ
сяти	sʲ ɑ t e
сяяти	sʲ ɐ j ɑ t e
тільки	tʲ i lʲ k ɪ
тістечко	tʲ i s t e t͡ʃ k ɔ
тітка	tʲ i t k ɐ
таїсія	t ɐ j i sʲ i j ɐ
так	t ɑ k
там	t ɑ m
танець	t ɑ n ɛ t͡sʲ
танцювати	t ɐ nʲ t͡sʲ ʊ u̯ ɑ t e
тарілка	t ɐ rʲ i l k ɐ
тато	t ɑ t ɔ
твій	tʲ ʋʲ i i̯
твір	tʲ ʋʲ i r
тварина	t ʋ ɐ r ɪ n ɐ
тварина	t ʋ ɐ r e n ɑ
твоє	t w ɔ j ɛ
твоя	t w ɔ j ɑ
театр	t e ɑ t r
тема	t ɛ m ɐ
темний	t ɛ m n e i̯
тенденція	t e n d ɛ nʲ t͡sʲ i j ɐ
теоріє	t e ɔ rʲ i j e
теорією	t e ɔ rʲ i j e j ʊ
теорії	t e ɔ rʲ i j i
теорій	t e ɔ rʲ i i̯
теорію	t e ɔ rʲ i j ʊ
теорія	t e ɔ rʲ i j ɐ
теоріям	t e ɔ rʲ i j ɐ m
теоріями	t e ɔ rʲ i j ɐ m e
теоріях	t e ɔ rʲ i j ɐ x
терапевтичний	t e r ɐ p e u̯ t ɪ t͡ʃ n e i̯
терем	t ɛ r ɛ m
терен	t ɛ r e n
терен	t e r ɛ n
територія	t e r e t ɔ rʲ i j ɐ
термін	t ɛ r mʲ i n
тетяна	t e tʲ ɑ n ɐ
технологія	t e x n ɔ l ɔ ɦʲ i j ɐ
ти	t ɪ
тиск	t ɪ s k
тисяча	t ɪ sʲ ɐ t͡ʃ ɐ
титар	t ɪ t ɐ r
тихий	t ɪ x e i̯
товар	t ɔ u̯ ɑ r
товариш	t ɔ u̯ ɑ r e ʃ
товаришка	t ɔ u̯ ɑ r e ʃ k ɐ
тоді	t o dʲ i
том	t ɔ m
тонна	t ɔ nː ɐ
торгівля	t o r ɦʲ i u̯ lʲ ɐ
точка	t ɔ t͡ʃ k ɐ
травень	t r ɑ u̯ e nʲ
трагедіє	t r ɐ ɦ ɛ dʲ i j e
трагедією	t r ɐ ɦ ɛ dʲ i j e j ʊ
трагедії	t r ɐ ɦ ɛ dʲ i j i
трагедій	t r ɐ ɦ ɛ dʲ i i̯
трагедію	t r ɐ ɦ ɛ dʲ i j ʊ
трагедія	t r ɐ ɦ ɛ dʲ i j ɐ
трагедіям	t r ɐ ɦ ɛ dʲ i j ɐ m
трагедіями	t r ɐ ɦ ɛ dʲ i j ɐ m e
трагедіях	t r ɐ ɦ ɛ dʲ i j ɐ x
традиція	t r ɐ d ɪ t͡sʲ i j ɐ
треба	t r ɛ b ɐ
трефа	t r ɛ f ɐ
трикутний	t r e k u t n e i̯
трикутник	t r e k u t n e k
труп	t r u p
туди	t ʊ d ɪ
тура	t ʊ r ɑ
тхір	tʲ xʲ i r
тюрма	tʲ ʊ r m ɑ
тягати	tʲ ɐ ɦ ɑ t e
увага	ʊ u̯ ɑ ɦ ɐ
угода	ʊ ɦ ɔ d ɐ
уже	ʊ ʒ ɛ
україна	ʊ k r ɐ j i n ɐ
україна	ʊ k r ɑ j i n ɐ
українець	ʊ k r ɐ j i n e t͡sʲ
українська	ʊ k r ɐ j i nʲ sʲ k ɐ
український	ʊ k r ɐ j i nʲ sʲ k e i̯
умань	u m ɐ nʲ
умова	ʊ m ɔ u̯ ɐ
університет	ʊ nʲ i u̯ e r s e t ɛ t
управління	ʊ p r ɐ u̯ lʲ i nʲː ɐ
уряд	u rʲ ɐ d
уряд	ʊ rʲ ɑ d
уряд	ʊ rʲ ɑ d
успіх	u sʲ pʲ i x
установа	ʊ s t ɐ n ɔ u̯ ɐ
устриця	u s t r e t͡sʲ ɐ
учасник	ʊ t͡ʃ ɑ s n e k
участь	u t͡ʃ ɐ sʲ tʲ
учитель	ʊ t͡ʃ ɪ t e lʲ
філіжанка	fʲ i lʲ i ʒ ɑ n k ɐ
фільм	fʲ i lʲ m
фінансування	fʲ i n ɐ n s ʊ u̯ ɑ nʲː ɐ
факт	f ɑ k t
фах	f ɑ x
фахівець	f ɐ xʲ i u̯ ɛ t͡sʲ
ферзь	f ɛ r zʲ
фонд	f ɔ n d
формування	f ɔ r m ʊ u̯ ɑ nʲː ɐ
фотографіє	f ɔ t ɔ ɦ r ɑ fʲ i j e
фотографією	f ɔ t ɔ ɦ r ɑ fʲ i j e j ʊ
фотографії	f ɔ t ɔ ɦ r ɑ fʲ i j i
фотографій	f ɔ t ɔ ɦ r ɑ fʲ i i̯
фотографію	f ɔ t ɔ ɦ r ɑ fʲ i j ʊ
фотографія	f ɔ t ɔ ɦ r ɑ fʲ i j ɐ
фотографіям	f ɔ t ɔ ɦ r ɑ fʲ i j ɐ m
фотографіями	f ɔ t ɔ ɦ r ɑ fʲ i j ɐ m e
фотографіях	f ɔ t ɔ ɦ r ɑ fʲ i j ɐ x
фракція	f r ɑ k t͡sʲ i j ɐ
фракція	f r ɑ k t͡sʲ i j ɐ
французький	f r ɐ n t͡s u zʲ k e i̯
функція	f u n k t͡sʲ i j ɐ
фюзеляж	fʲ ʊ z e lʲ ɑ ʒ
хава	x ɑ u̯ ɐ
хай	x ɑ i̯
халепа	x ɑ l ɛ p ɐ
хаос	x ɑ ɔ s
характер	x ɐ r ɑ k t e r
харків	x ɑ r k i u̯
хвиля	x ʋ ɪ lʲ ɐ
хліб	x lʲ i b
хлопець	x l ɔ p e t͡sʲ
хлопчик	x l ɔ p t͡ʃ e k
хмарочос	x m ɐ r ɔ t͡ʃ ɔ s
холодний	x ɔ l ɔ d n e i̯
христина	x r e s t ɪ n ɐ
хтивий	x t ɪ u̯ e i̯
хто	x t ɔ
художник	x ʊ d ɔ ʒ n e k
хуйло	x ʊ i̯ l ɔ
хустка	x u s t k ɐ
цікавий	t͡sʲ i k ɑ u̯ e i̯
цілий	t͡sʲ i l e i̯
цілковито	t͡sʲ i l k ɔ u̯ ɪ t ɔ
цілком	t͡sʲ i l k ɔ m
цілувати	t͡sʲ i l ʊ u̯ ɑ t e
ціль	t͡sʲ i lʲ
цінність	t͡sʲ i nʲː i sʲ tʲ
цап	t͡s ɑ p
цапеня	t͡s ɐ p e nʲ ɑ
цар	t͡s ɑ r
цвях	t͡sʲ ʋʲ ɑ x
це	t͡s ɛ
центавр	t͡s e n t ɑ u̯ r
центр	t͡s ɛ n t r
центральний	t͡s e n t r ɑ lʲ n e i̯
цигарка	t͡s e ɦ ɑ r k ɐ
цигарок	t͡s e ɦ ɑ r ɔ k
цитата	t͡s e t ɑ t ɐ
цитрина	t͡s e t r ɪ n ɐ
цукор	t͡s u k ɔ r
цуценя	t͡s ʊ t͡s e nʲ ɑ
чабер	t͡ʃ ɐ b ɛ r
чага	t͡ʃ ɑ ɦ ɐ
чаклувати	t͡ʃ ɐ k l ʊ u̯ ɑ t e
час	t͡ʃ ɑ s
червень	t͡ʃ ɛ r ʋ e nʲ
червоний	t͡ʃ e r w ɔ n e i̯
черга	t͡ʃ ɛ r ɦ ɑ
черевик	t͡ʃ e r e u̯ ɪ k
черемха	t͡ʃ e r ɛ m x ɐ
четвер	t͡ʃ e t ʋ ɛ r
чин	t͡ʃ ɪ n
чинник	t͡ʃ ɪ nː e k
чиновник	t͡ʃ e n ɔ u̯ n e k
чирва	t͡ʃ ɪ r ʋ ɐ
читати	t͡ʃ e t ɑ t e
член	t͡ʃ l ɛ n
чоловік	t͡ʃ ɔ l ɔ u̯ʲ i k
чоловічий	t͡ʃ ɔ l ɔ u̯ʲ i t͡ʃ e i̯
чому	t͡ʃ o m u
чорний	t͡ʃ ɔ r n e i̯
чорнобиль	t͡ʃ ɔ r n ɔ b e lʲ
чути	t͡ʃ u t e
шість	ʃʲ i sʲ tʲ
шанс	ʃ ɑ n s
шахівниця	ʃ ɐ xʲ i u̯ n ɪ t͡sʲ ɐ
швейцарія	ʃ ʋ e i j t͡s ɑ rʲ i j ɐ
шевченко	ʃ e u̯ t͡ʃ ɛ n k ɔ
шестірня	ʃ e sʲ tʲ i r nʲ ɑ
шестикутник	ʃ e s t e k u t n e k
шип	ʃ ɪ p
широка	ʃ e r ɔ k ɐ
широкий	ʃ e r ɔ k e i̯
шия	ʃ ɪ j ɐ
школа	ʃ k ɔ l ɐ
шлях	ʃ lʲ ɑ x
шомпол	ʃ ɔ m p ɔ l
щік	ʃ t͡ʃʲ i k
ще	ʃ t͡ʃ ɛ
що	ʃ t ʃ ɔ
щоб	ʃ t͡ʃ ɔ b
щока	ʃ t͡ʃ ɔ k ɑ
щокам	ʃ t͡ʃ ɔ k ɑ m
щоками	ʃ t͡ʃ ɔ k ɑ m e
щоках	ʃ t͡ʃ ɔ k ɑ x
щоки	ʃ t͡ʃ ɔ k ɪ
щоки	ʃ t͡ʃ ɔ k e
щоко	ʃ t͡ʃ ɔ k ɔ
щокою	ʃ t͡ʃ ɔ k ɔ j ʊ
щоку	ʃ t͡ʃ o k u
щоці	ʃ t͡ʃ o t͡sʲ i
юрба	j ʊ r b ɑ
ющенко	j u ʃ t͡ʃ e n k ɔ
я	j ɑ
яблуко	j ɑ b l ʊ k ɔ
явище	j ɑ u̯ e ʃ t͡ʃ e
ягідка	j ɑ ɦʲ i d k ɐ
ягода	j ɑ ɦ ɔ d ɐ
язик	j ɐ z ɪ k
якісний	j ɑ k i s n ɪ j
яна	j ɑ n ɐ
японія	j ɐ p ɔ nʲ i j ɐ
яскравий	j ɐ s k r ɑ u̯ e i̯
ячмінь	j ɐ t͡ʃ mʲ i nʲ
ґава	ɡ ɑ u̯ ɐ
ґанок	ɡ ɑ n ɔ k
ґедзь	ɡ ɛ d͡zʲ
ґринджоли	ɡ r e n d͡ʒ ɔ l e
ґудзик	ɡ u d͡z e k
