־אַטש	a t͡ʃ
בלאָבלאַט־אַקאַציע	b l ɔ b l a t a k a t͡s j ə
בלאָנדזשען	b ɫ ɔ n d͡ʒ ə n
בלוט	b ɫ iː t
בלוט	b ɫ uː t
בלוט	b ɫ ɨ t
בלוט	b ɫ ʊ t
בלוטיק	b ɫ ʊ t ɪ k
בלוטיקט	b ɫ ʊ t ɪ k t
בלוטיקן	b ɫ ʊ t ɪ k n̩
בלוטיקסט	b ɫ ʊ t ɪ k s t
בלוי	b ɫ o ʊ̯
בלוי	b ɫ oː
בלוי	b ɫ ɔ
בלוי	b ɫ ɔ ɪ̯
בלויען	b l ɔ ə n
בלויען	b l ɔ ɪ̯ ə n
בלויען	b l ɔ ʊ̯ ə n
בלום	b ɫ ʊ m
בליאַסקען	b ʎ a s k ə n
בליץ	b ʎ ɪ t͡s
בליצבריוו	b ʎ ɪ t͡s b ʁ ɪ v
בליציק	b l ɨ t͡s ɨ k
בליציק	b l ɪ t͡s ɪ k
בליצמיסט	b ʎ ɪ t͡s m ɪ s t
בליצפּאָסט	b ʎ ɪ t͡s p ɔ s t
בלישטשען	b l ɪ ʃ t͡ʃ ə n
בלעטל	b ɫ ɛ t ɫ̩
בלעך	b l ɛ χ
בלעכער	b ɫ ɛ χ ə ʁ
בלײַ	b l a
בלײַ	b l a ɪ̯
בלײַ	b l aː
בלײַב	b ɫ a ɪ̯ b
בלײַבן	b ɫ a ɪ̯ b n̩
בלײַער	b ɫ a ɪ̯ ə ʁ
בן־נח	b ɛ n n ɔ ɪ̯ ə χ
בן־עיר	b ə n ɪ ʁ
בן־תּורה	b ɛ n t e ɪ̯ ʁ ə
בן־תּורה	b ɛ n t ɔ ɪ̯ ʁ ə
בנין	b ɪ n j ə n
בנינים	b ɪ n j ɔ n ɪ m
בסך־הכּל	b ə s a χ a k l̩
בעבל	b ɛ b ɫ̩
בעזבאָזשניק	b ɛ z b ɔ ʒ n ɪ k
בעזעם	b ɛ z ə m
בעט	b ɛ t
בעטאָן	b ə t ɔ n
בעטטישל	b ɛ t t ɪ ʃ ɫ̩
בעטן	b ɛ t n̩
בעכער	b ɛ χ ɛ ɾ
בעל	b a l
בעל־אַבֿידה	b a l a v ɛ ɪ̯ d ə
בעל־דרך־ארץ	b a l d ɛ r ə χ ɛ r ə t͡s
בעל־דרך־ארץ	b a l d ɛ r ə χ ɛ ɪ̯ r ə t͡s
בעל־דרך־ארץ	b a l d ɛ r χ ɛ r ə t͡s
בעל־דרך־ארץ	b a l d ɛ r χ ɛ ɪ̯ r ə t͡s
בעל־הבית	b a ɫ ə b ɔ s
בעל־חובֿ	b a l χ e ɪ̯ v
בעל־חובֿ	b a l χ ɔ ɪ̯ v
בעל־חי	b a ɫ χ a ɪ̯
בעל־חלומות	b a l χ a l e ɪ̯ m ə s
בעל־חלומות	b a l χ a l ɔ ɪ̯ m ə s
בעל־יועץ	b a ʎ e ɪ̯ ə t͡s
בעל־יועץ	b a ʎ ɔ ɪ̯ ə t͡s
בעל־יועץ	b ɔ ʎ ɔ ɪ̯ ə t͡s
בעל־מיצווה	b a l m ɪ t͡s v ə
בעל־מלאָכה	b a l m ə l u χ ə
בעל־מלאָכה	b a l m ə l ɔ χ ə
בעל־נצחון	b a l n ɪ t͡s u χ n̩
בעל־נצחון	b a l n ɪ t͡s ɔ χ n̩
בעל־תּנ״ך	b a l t a n a χ
בעל־תּשובֿה	b a ɫ t͡ʃ ʊ v ə
בעלאַדאָנאַ	b ɛ ɫ a d ɔ n a
בעלז	b ɛ ɫ z
בעלי־בתּים	b a ɫ ə b a t ə m
בעלמע	b ɛ l m ɛ
בעלעטאַזש	b ɛ ɫ ɛ t a ʒ
בעלעטאַזש	b ɛ ʎ ɛ t a ʒ
בענדין	b ə n d ɪ n
בענזאָל	b ə n z ɔ ɫ
בענזאָל	b ɛ n z ɔ ɫ
בענזין	b ɛ n z i n
בענזין	b ɛ n z ɪ n
בענכל	b eː n χ ɫ̩
בענכל	b ɛ n χ ɫ̩
בענק	b ɛ ŋ k
בענקל	b ɛ ŋ k ɫ̩
בענקלעך	b ɛ ŋ k ɫ ə x
בעסער	b ɛ s ə ʁ
בעצם	b ɛ t͡s m̩
בעקן	b ɛ k ŋ̩
בעקען	b ɛ k ə n
בעקער	b ɛ k ə ʁ
בערגל	b ɛ ʁ ɡ ɫ̩
בערזע	b ɛ r z ə
בערטע	b ɛ r t ə
בעריליום	b ə ʁ ɪ l j ʊ m
בעריליום	b ɛ ʁ ɪ l j ʊ m
בערך	b ɛ ɛ ʀ ɛ x
בערן	b ɛ ʁ n̩
בעת־מעשׂה	b a ɪ̯ s m a n s ə
בעת־מעשׂה	b a ɪ̯ s m aː s ə
בעת־מעשׂה	b e ɪ̯ s m a ɪ̯ s ə
בעת־מעשׂה	b ɛ ɪ̯ s m a n s ə
בעת־מעשׂה	b ɛ ɪ̯ s m a s ə
בעת־מעשׂה	b ɛ ɪ̯ s m a ɪ̯ s ə
בפֿירוש	b ə f a ɪ̯ ʁ ə ʃ
בפֿירוש	b ə f ɛ ɪ̯ ʁ ə ʃ
בקיצור	b ə k ɪ t͡s ə ʁ
בקריעת־ים־סוף	b ə k ʁ ɪ j ə s j a m s ʊ f
בר־מינן	b a ʁ m ə n ə n
בר־מיצווה	b a ʁ m ɪ t͡s v ə
בר־מיצווה־בחור	b a ʁ m ɪ t͡s v ə b u χ ə ʁ
בר־מיצווה־בחור	b a ʁ m ɪ t͡s v ə b ɔ χ ə ʁ
בראַוואָ	b r a v ɔ
בראַסלעוו	b r a s ɫ ə v
בראָטן	b ʁ ɔ t n̩
בראָך	b ʁ ɔ χ
בראָם	b ʁ ɔ m
בראָנדז	b ʁ ɔ n d͡z
בראָנטש	b r ɔ n t͡ʃ
בראָנטש	b r ʌ n t͡ʃ
בראָנפֿן	b ʁ o n f ɱ̩
בראָקאָלי	b r ɔ k ɔ ʎ ɪ
בראשית	b ʁ a ɪ̯ ʃ ə s
בראשית	b ʁ e ɪ̯ ʃ ə s
בראשית	b ʁ ɛ ɪ̯ ʃ ə s
בראשיתדיק	b ʁ a ɪ̯ ʃ ə s d ɪ k
בראשיתדיק	b ʁ e ɪ̯ ʃ ə s d ɪ k
בראשיתדיק	b ʁ ɛ ɪ̯ ʃ ə s d ɨ k
בראשיתדיק	b ʁ ɛ ɪ̯ ʃ ə s d ɪ k
ברודער	b ʁ iː d ə ʁ
ברודער	b ʁ uː d ə ʁ
ברודער	b ʁ ɨ d ə ʁ
ברודער	b ʁ ʊ d ə ʁ
ברויט	b r ɔ ɪ̯ t
ברוין	b ʁ o ʊ̯ n
ברוין	b ʁ ɔ ɪ̯ n
ברוך	b u ʁ ə χ
ברוך	b ɔ ʁ ɛ χ
ברוך־הבא	b ɔ r ə χ a b ɔ
ברוך־הבא	b ɔ r ə χ a b ə
ברוך־הבא	b ɔ r χ a b ə
ברוך־הבא	b ʊ r ə χ a b ʊ
ברוק	b r ʊ k
ברידערשאַפֿט	b ʁ ɪ d ə ʁ ʃ a f t
בריה	b ɪ ʁ j ə
בריהן	b ɛ ʁ j ə n
בריווטרעגער	b ʁ i v t ʁ ɛ ɡ ə ʁ
בריווטרעגער	b ʁ iː v t ʁ ɛ ɡ ə ʁ
בריווטרעגער	b ʁ ɪ v t ʁ ɛ ɡ ə ʁ
בריוון	b ʁ ɪ v n̩
בריטווע	b ʁ ɪ t v ə
בריטיש	b ʁ ɪ t ɪ ʃ
ברייזל	b r ɛ ɪ̯ z ɫ̩
ברייט	b r ɛ ɪ̯ t
ברייטער	b r ɛ ɪ̯ t ɜ r
ברילן	b ʁ ɪ ɫ n̩
בריסק	b r ɪ s k
בריק	b ʁ ɪ k
ברכה	b ʁ ɔ χ ə
ברכות	b ʁ ɔ χ ə s
ברעג	b ʁ ɛ ɡ
ברעט	b r ɛ t
ברעכער	b ʁ ɛ χ ə ʁ
ברענגען	b ʁ ɛ ŋ ɡ ə n
ברענט	b ʁ ɛ n t
ברענען	b ʁ ɛ n ə n
בשׂורה	p s ʊ ʁ ə
בשעת	b ə ʃ a s
בשעת	b ə ʃ aː s
בתּכלית	b ə t a χ l ə s
בת־יענה	b a s j a ɪ̯ n ə
בת־ישׂראל	b a s j ɪ s ʁ ɔ ə ɫ
בת־מיצווה	b a s m ɪ t͡s v ə
בתולה	p s ʊ ɫ ə
בײַוואַלן	b a ɪ̯ v a ɫ n̩
בײַזײַן	b a ɪ̯ z a ɪ̯ n
בײַטאָג	b a ɪ̯ t ɔ ɡ
בײַטל	b a ɪ̯ t ɫ̩
בײַטלען	b a ɪ̯ t l̩ n
בײַכער	b a ɪ̯ χ ə ʁ
בײַנאַכט	b a ɪ̯ n a χ t
בײַסט	b a ɪ̯ s t
בײַסן	b a ɪ̯ s n̩
בײַקומען	b a ɪ̯ k ʊ m ə n
בײַקע	b a ɪ̯ k ə
בײַשטײַערונג	b a ɪ̯ ʃ t a ɪ̯ ə ʁ ʊ ŋ ɡ
בײַשטײַערן	b a ɪ̯ ʃ t a ɪ̯ ə ʁ n̩
גאַטקעס	ɡ a t k ə s
גאַלאָן	ɡ a ɫ ɔ n
גאַליום	ɡ a l j ʊ m
גאַליציאַניש	ɡ a l ɪ t͡s j a n ɪ ʃ
גאַליציאַנער	ɡ a l ɪ t͡s j a n ə r
גאַליציע	ɡ a l ɪ t͡s j ə
גאַליציע	ɡ a l ɪ t͡s ɪ j ə
גאַליציש	ɡ a l ɪ t͡s ɪ ʃ
גאַנדז	ɡ a n d͡z
גאַנץ	ɡ a n t͡s
גאַס	ɡ a s
גאַסט	ɡ a s t
גאַסטראָנאָמיע	ɡ a s t r ɔ n ɔ m j ə
גאַרטל	ɡ a ʁ t ɫ̩
גאָון	ɡ u ə n
גאָון	ɡ ɔ ə n
גאָט	ɡ ɔ t
גאָלד	ɡ ɔ ɫ d
גאָלדשמיד	ɡ ɔ ɫ d ʃ m ɪ d
גאָלמעסער	ɡ ɔ ɫ m ɛ s ə ʁ
גאָלן	ɡ ɔ ɫ n̩
גאָלקרעם	ɡ ɔ l k ʁ e m
גאָמבע	ɡ ɔ m b ə
גאָפּל	ɡ ɔ p ɫ̩
גאָר	ɡ u ʁ
גאָר	ɡ ɔ ʁ
גאָרטשיצע	ɡ ɔ r t͡ʃ ɪ t͡s ə
גאָרילע	ɡ o ʁ ɪ ɫ ə
גאָרן	ɡ ɔ ʁ n
גאווה	ɡ a j v ɛ
גאולה	ɡ ə ʊ ɫ ə
גאונים	ɡ ə ɔ ɪ n ə m
גאונים	ɡ ə ɛ ɪ n ə m
גבֿול	ɡ v ɨ ɫ
גבֿול	ɡ v ɪ ɫ
גבֿול	ɡ v ʊ ɫ
גבֿיר	ɡ v i ʁ
גבֿיר	ɡ v iː ʁ
גבֿיר	ɡ v ɪ ʁ
גבֿיר	ɡ ə v i ʁ
גבֿיר	ɡ ə v iː ʁ
גבֿיר	ɡ ə v ɪ ʁ
גבֿירימשאַפֿט	ɡ v iː r ɪ m ʃ a f t
גדול־הדור	ɡ uː d ɫ̩ a d ɔ r
גדול־הדור	ɡ uː d ɫ̩ h a d ɔ r
גדול־הדור	ɡ ɔ d ɫ̩ a d ɔ ʁ
גדול־הדור	ɡ ɔ d ɫ̩ h a d ɔ ʁ
גדלן	ɡ a d l ə n
גואַקאַמאָלע	ɡ u a k a m ɔ ɫ ə
גואַש	ɡ ʊ a ʃ
גוגל	ɡ ʊ ɡ ɫ̩
גוגלען	ɡ ʊ ɡ ɫ ə n
גוואָזדיקע	ɡ v ɔ z d i k ə
גוואָזדיקע	ɡ v ɔ z d ɪ k ə
גוזמא	ɡ ɨ z m ə
גוזמא	ɡ ɪ z m ə
גוזמא	ɡ ʊ z m ə
גוזמאדיק	ɡ ɨ z m ə d ɪ k
גוזמאדיק	ɡ ɪ z m ə d ɪ k
גוזמאדיק	ɡ ʊ z m ə d ɪ k
גוזמאדיקייט	ɡ ɨ z m ə d ɪ k a ɪ̯ t
גוזמאדיקייט	ɡ ɪ z m ə d ɪ k a ɪ̯ t
גוזמאדיקייט	ɡ ʊ z m ə d ɪ k a ɪ̯ t
גוט־וואָך	ɡ ʊ t v ɔ χ
גוט־עלעף	ɡ ʊ t ɛ ɫ ə f
גוט־שבת	ɡ ʊ t ʃ a b ə s
גוטהאַרציק	ɡ ʊ t h a r t͡s ɪ k
גוי	ɡ ɔ ɪ̯
גוי	ɡ ɔː
גולם	ɡ e ɪ̯ l ə m
גולם	ɡ ɔ ɪ̯ l ə m
גולמען	ɡ e ɪ̯ l ə m ə n
גולמען	ɡ ɔ ɪ̯ l ə m ə n
גומי	ɡ ʊ m ɪ
גומען	ɡ ʊ m ə n
גופֿה	ɡ i f ə
גופֿה	ɡ iː f ə
גופֿה	ɡ ʊ f ə
גזלן	ɡ a z ɫ ə n
גזלעווויסטווע	ɡ a z ɫ ə v ɔ ɪ̯ s t v ə
גזלעווויע	ɡ a z ɫ ə v ɔ ɪ̯ ə
גזר־דין	ɡ z a ʁ d ɪ n
גט	ɡ ɛ t
גיב	ɡ ɪ b
גיהנום	ɡ ə h ɛ n ə m
גיהנום	ɡ ɛ n ə m
גיטאַר	ɡ ɪ t a ʁ
גיטאַרע	ɡ ɪ t a r ə
גיי	ɡ a ɪ̯
גיי	ɡ ɛ ɪ̯
גיין	ɡ ɛ ɪ̯ n
גיכשפּײַז	ɡ ɪ χ ʃ p a ɪ̯ z
גילטיק	ɡ ɪ l t ɪ k
גילטן	ɡ ɪ l t n̩
גיליאָטין	ɡ ɪ ʎ j ɔ t ɪ n
גימנאַסטיק	ɡ ɪ m n a s t ɪ k
גינען	ɡ ɪ n ə n
גיריק	ɡ ɪ r ɪ k
גלאָז	ɡ ɫ ɔ z
גלוטען	ɡ ɫ ʊ t ə n
גלח	ɡ a ɫ ə χ
גליאַנדער	ɡ ʎ a n d ə r
גליווער	ɡ ʎ ɪ v ə r
גליווערן	ɡ ʎ ɪ v ə r n̩
גליטשן	ɡ ɫ ɪ t͡ʃ n̩
גלײַך	ɡ ɫ a ɪ̯ χ
גלײַך	ɡ ɫ a χ
גלײַך	ɡ ɫ aː χ
גם־אתּם	ɡ a m a t ə m
גמרא	ɡ m u ʁ ə
גמרא	ɡ m uː ʁ ə
גמרא	ɡ m ɔ ʁ ə
גמרא	ɡ ə m u ʁ ə
גמרא	ɡ ə m uː ʁ ə
גמרא	ɡ ə m ɔ ʁ ə
גן־עדן	ɡ a n ‿ a ɪ̯ d n̩
גן־עדן	ɡ a n ‿ a ɪ̯ d ə m
גן־עדן	ɡ a n ‿ e ɪ̯ d n̩
גן־עדן	ɡ a n ‿ e ɪ̯ d ə m
גן־עדן	ɡ a n ‿ ɛ ɪ̯ d n̩
גנאַי	ɡ n a ɪ̯
גנאַייִק	ɡ n a ɪ̯ ɪ k
גנבֿ	ɡ a n ə f
גנבֿ	ɡ a n ə v
גנבֿענען	ɡ a n v ə n ə n
געאײַל	ɡ ə a l
געאײַל	ɡ ə a ɪ̯ l
געאײַל	ɡ ə aː l
געבורטסטאָג	ɡ ə b ʊ ʁ t s t ɔ ɡ
געבליבן	ɡ ə b ʎ ɪ b n̩
געבן	ɡ e ɪ̯ b n̩
געבן	ɡ ɛ b n̩
געבעטן	ɡ ə b ɛ t n̩
געבעקס	ɡ ə b ɛ k s
געגאַנגען	ɡ ə ɡ a ŋ ɡ ə n
געגנט	ɡ ɛ ɡ n̩ t
געגעבן	ɡ ə ɡ ɛ b n̩
געגעסן	ɡ ə ɡ ɛ s n̩
געדויערן	ɡ ə d o ʊ̯ ə ʁ n
געדויערן	ɡ ə d ɔ ɪ̯ ə ʁ n
געהילף	ɡ ə h ɪ ɫ f
געהילפֿן	ɡ ə h ɪ ɫ f n̩
געהערן	ɡ ə h ɛ ʁ n̩
געוואַרט	ɡ ə v a ʁ t
געוווינען	ɡ ə v e ɪ̯ n ə n
געוווינען	ɡ ə v ɔ ɪ̯ n ə n
געוויין	ɡ ə v ɛ ɪ̯ n
געוויינט	ɡ ə v ɛ ɪ̯ n t
געוויינען	ɡ ə v ɛ ɪ̯ n ə n
געוויס	ɡ ə v ɪ s
געוויקס	ɡ ə v ɪ k s
געווען	ɡ ə v e ɪ̯ n
געווען	ɡ ə v eː n
געווען	ɡ ə v ɛ n
געווער	ɡ ɜ v ɛ r
געזאָגט	ɡ ə z u k t
געזאָגט	ɡ ə z ɔ k t
געזאָגט	ɡ ə z ʊ k t
געזשאַווערט	ɡ ə ʒ a v ə ʁ t
געטאָן	ɡ ə t ɔ n
געטיילט	ɡ ə t ɛ ɪ̯ ɫ t
געטראַנק	ɡ ə t ʁ a ŋ k
געטראַנקן	ɡ ə t ʁ a ŋ k n̩
געטרויען	ɡ ə t r ɔ ɪ̯ ə n
געל	ɡ ɛ ɫ
געלאָפֿן	ɡ ə ɫ ɔ f n̩
געלב	ɡ ɛ ɫ b
געלט	ɡ ɛ ɫ t
געלייגט	ɡ ə ɫ ɛ ɪ̯ k t
געלינקט	ɡ ə ʎ ɪ ŋ k t
געלעבט	ɡ ə ɫ ɛ p t
געמאַכט	ɡ ə m a χ t
געמזע	ɡ ɛ m z ə
געמיט	ɡ ə m ɪ t
געמיין	ɡ ə m a ɪ̯ n
געמיין	ɡ ə m ɛ ɪ̯ n
געמיינדע	ɡ e m ɛ ɪ̯ n d ə
געמיינדע	ɡ ə m a ɪ̯ n d ə
געמיינזאַם	ɡ ə m a ɪ̯ n z a m
געמיינזאַם	ɡ ə m ɛ ɪ̯ n z a m
געמיינשאַפֿט	ɡ ə m a ɪ̯ n ʃ a f t
געמיינשאַפֿט	ɡ ə m ɛ ɪ̯ n ʃ a f t
געמיש	ɡ ə m ɨ ʃ
געמיש	ɡ ə m ɪ ʃ
געמײַנדע	ɡ e m a ɪ̯ n d ə
געמײַנדע	ɡ ə m aː n d ə
גענדזל	ɡ ɛ n d͡z ɫ̩
גענוג	ɡ ə n ʊ ɡ
גענוי	ɡ ə n ɔ ɪ̯
גענומען	ɡ ə n ʊ m ə n
געסט	ɡ ɛ s t
געסטאַפּאָוועץ	ɡ ə s t a p ɔ v ə t͡s
געסרחה	ɡ ə s ʁ ɔ χ ə
געפּלאַנט	ɡ ə p l a n t
געפּרעגלעכץ	ɡ ə p r ɛ ɡ ɫ ə χ t͡s
געפֿונען	ɡ ə f ʊ n ə n
געפֿינט	ɡ ə f ɪ n t
געפֿינען	ɡ ə f ɪ n ə n
געפֿעלט	ɡ ə f ɛ ɫ t
געפֿעלן	ɡ ə f ɛ ɫ n̩
געפֿערלעך	ɡ ə f ɛ ʁ ɫ ə χ
געצעלט	ɡ ə t͡s ɛ ɫ t
געקענט	ɡ ə k ɛ n t
געקראָכן	ɡ ə k ʁ ɔ χ n̩
גערמאַניום	ɡ ɛ ʁ m a n j ʊ m
גערעגנט	ɡ ə ʁ ɛ ɡ n̩ t
גערעכנט	ɡ ə ʁ ɛ χ n̩ t
געשוואָלן	ɡ ə ʃ v ɔ ɫ n̩
געשוויסטער	ɡ ə ʃ v ɪ s t ə ʁ
געשטאַלט	ɡ ɜ ʃ t a l t
געשטאָרבן	ɡ ə ʃ t ɔ ʁ b n̩
געשטונקען	ɡ ə ʃ t ʊ ŋ k ə n
געשיכטע	ɡ ɜ ʃ ɪ χ t ɜ
געשיר	ɡ ə ʃ iː ʁ
געשיר	ɡ ə ʃ ɪ ʁ
געשלעג	ɡ ə ʃ ɫ ɛ ɡ
געשמאַק	ɡ ə ʃ m a k
געשמאַקע	ɡ ə ʃ m a k ə
געשנייט	ɡ ə ʃ n ɛ ɪ̯ t
געשעט	ɡ ə ʃ ɛ t
געשען	ɡ ə ʃ ɛ n
געשעפֿט	ɡ ə ʃ ɛ f t
געשײַנט	ɡ ə ʃ a ɪ̯ n t
גראַבליעווען	ɡ r a b ʎ ə v ə n
גראַגער	ɡ ʁ a ɡ ə ʁ
גראַד	ɡ ʁ a d
גראַמאַטיק	ɡ ʁ a m a t ɪ k
גראַניט	ɡ r a n ɪ t
גראַץ	ɡ ʁ a t͡s
גראָד	ɡ ʁ ɔ d
גראָדנע	ɡ r ɔ d n ə
גרוזיע	ɡ ʁ ʊ z j ə
גרוי	ɡ r o ʊ̯
גרוי	ɡ r oː
גרוי	ɡ r ɔ
גרוי	ɡ r ɔ ɪ̯
גרויס	ɡ r ɔ ɪ̯ s
גרויסהערצאָג	ɡ r ɔ ɪ̯ s h ɛ ʁ t͡s ɔ ɡ
גרויסהערצאָגשאַפֿט	ɡ r ɔ ɪ̯ s h ɛ ʁ t͡s ɔ ɡ ʃ a f t
גרויסע	ɡ r ɔ ɪ̯ s ə
גרונדוואַגע	ɡ r ʊ n d v a ɡ ə
גרונט	ɡ ʁ ʊ n t
גרוש	ɡ ɔ ʁ ə ʃ
גריכיש	ɡ ʁ ɪ χ ɪ ʃ
גריכנלאַנד	ɡ ʁ ɪ χ ɫ a n d
גריל	ɡ ʁ ɪ ɫ
גרין	ɡ ʁ i n
גרין	ɡ ʁ iː n
גרין	ɡ ʁ ɪ n
גרינג	ɡ ʁ ɪ ŋ ɡ
גרינגער	ɡ ʁ ɪ ŋ ɡ ə ʁ
גרינטלעך	ɡ r ɪ n t ɫ ə χ
גרינצײַג	ɡ ʁ ɪ n t͡s a ɪ̯ ɡ
גריקע	ɡ r ɪ k ə
גרעבער	ɡ ʁ ɛ b ə ʁ
גרעבער־וועספּע	ɡ ʁ ɛ b ə ʁ v ɛ s p ə
גרעסער	ɡ ʁ ɛ s ə ʁ
גרײַפּל	ɡ r a ɪ̯ p ɫ̩
גײַסענען	ɡ a ɪ̯ s ə n ə n
דאַוונען	d a v n ə n
דאַוונען	d ɔ v n ə n
דאַוונען	d ɔ ɪ n ə n
דאַטיוו	d a t ɪ v
דאַטיף	d a t ɪ f
דאַך	d a χ
דאַלוי	d a ɫ ɔ ɪ̯
דאַנען	d a n ə n
דאַנקבאַר	d a ŋ k b a r
דאַקטיל	d a k t ɪ ɫ
דאַקטיליש	d a k t ɪ ɫ ɪ ʃ
דאַרף	d a ʁ f
דאַרפֿן	d a ʁ f n̩
דאַרפֿסט	d a ʁ f s t
דאָ	d ɔ
דאָ	d ʊ
דאָיִקייט	d ɔ ɪ k a ɪ̯ t
דאָלאַר	d ɔ ɫ a ʁ
דאָלוי	d ɔ ɫ ɔ ɪ̯
דאָליע	d ɔ ɫ j ə
דאָלמעטשער	d ɔ ɫ m ɛ t͡ʃ ə r
דאָמינאָ	d ɔ m ɪ n ɔ
דאָמינאָ־שפּיל	d ɔ m ɪ n ɔ ʃ p ɪ ɫ
דאָמקראַט	d ɔ m k ʁ a t
דאָנאַט	d ɔ n a t
דאָנאַט	d ɔ n ɐ t
דאָנעצק	d ɔ n ɛ t͡s k
דאָצענט	d ɔ t͡s ɛ n t
דאָצענטור	d ɔ t͡s ə n t ʊ r
דאָקטאָר	d ɔ k t ɔ ʁ
דאָקטוירים	d ɔ k t ɔ ɪ ʁ ɪ m
דאָקטער	d ɔ k t ə ʁ
דאָרט	d ɔ ʁ t
דאָרש	d ɔ ʁ ʃ
דאָרשטיק	d ɔ ʁ ʃ t ɪ k
דאגה	d a ɡ ə
דאגה	d a ɪ̯ ɡ ə
דאגה	d aː ɡ ə
דאגהן	d a ɡ ə n
דאגהן	d a ɪ̯ ɡ ə n
דאגהן	d aː ɡ ə n
דבֿיקות	d v a ɪ̯ k ə s
דבֿיקות	d v e ɪ̯ k ə s
דבֿיקות	d v ɛ ɪ̯ k ə s
דבֿיקותדיק	d v a ɪ̯ k ə s d ɪ k
דבֿיקותדיק	d v e ɪ̯ k ə s d ɪ k
דבֿיקותדיק	d v ɛ ɪ̯ k ə s d ɨ k
דבֿיקותדיק	d v ɛ ɪ̯ k ə s d ɪ k
דבֿקען	d v a ɪ̯ k ə n
דבֿקען	d v e ɪ̯ k ə n
דבֿקען	d v ɛ ɪ̯ k ə n
דו	d i
דו	d iː
דו	d uː
דו	d ʊ
דוד	d oː v ə d
דוד	d u v ə d
דוד	d uː v ə d
דוד	d ɔ v ə d
דויערן	d o ʊ̯ ə ʁ n̩
דויערן	d ɔ ɪ̯ ə ʁ n̩
דוצן	d i t͡s n̩
דוצן	d iː t͡s n̩
דוצן	d ʊ t͡s n̩
דור	d ɔ ʁ
דורות	d ɔ ɪ̯ ʁ ə s
דורך	d ɔ ʁ ə χ
דורך	d ɔ ʁ χ
דורך	d ɛ ʁ ə χ
דורך	d ɛ ʁ χ
דורך	d ʊ ʁ χ
דורכ־	d ɔ ʁ ə χ
דורכ־	d ɔ ʁ χ
דורכ־	d ɛ ʁ ə χ
דורכ־	d ɛ ʁ χ
דורכ־	d ʊ ʁ χ
דורכדרינגלעך	d ʊ ʁ χ d ʁ ɪ n ɡ l ə χ
דורכויס	d ʊ r χ ɔ ɪ̯ s
דורכזען	d ɔ ʁ ə χ z ɛ ɪ̯ n
דורכזען	d ɔ ʁ χ z ɛ ɪ̯ n
דורכזען	d ɛ ʁ ə χ z ɛ ɪ̯ n
דורכזען	d ɛ ʁ χ z ɛ ɪ̯ n
דורכזען	d ʊ ʁ χ z ɛ n
דורכזעעוודיק	d ɔ ʁ ə χ z ɛ ə v d ɪ k
דורכזעעוודיק	d ɔ ʁ χ z ɛ ə v d ɪ k
דורכזעעוודיק	d ɛ ʁ ə χ z ɛ ə v d ɪ k
דורכזעעוודיק	d ɛ ʁ χ z ɛ ə v d ɪ k
דורכזעעוודיק	d ʊ ʁ χ z ɛ ə v d ɪ k
דורכפֿאַלן	d ʊ ʁ χ f a ɫ n̩
דורכקומען	d ɔ ʁ ə χ k ɪ m ə n
דורכקומען	d ɔ ʁ χ k ɪ m ə n
דורכקומען	d ɛ ʁ ə χ k ɨ m ə n
דורכקומען	d ɛ ʁ χ k ɨ m ə n
דורכקומען	d ʊ ʁ χ k ʊ m ə n
דורכרײַסן	d ʊ ʁ χ ʁ a ɪ̯ s n̩
דזשוכע	d͡ʒ ʊ χ ə
דזשינס	d͡ʒ i n s
דזשעלאָ	d͡ʒ ɛ ɫ ɔ
דזשעלניצע	d͡ʒ ɛ l n ɪ t͡s ə
דזשענדער	d͡ʒ ɛ n d ə ʁ
דחק	t χ a k
דיאָריט	d j ɔ r ɪ t
דיבוק	d ɪ b ə k
דיוגאָנג	d j ʊ ɡ ɔ ŋ ɡ
דיין	d a ɪ̯ n
דיין	d a ɪ̯ ə n
דיכען	d ɪ χ ə n
דימענט	d ɪ m ə n t
דימענט־זשוק	d ɪ m ə n t ʒ ʊ k
דימענטן	d iː m ə n t n̩
דימענטן	d ɪ m ə n t n̩
דין	d ɪ n
דינג	d ɪ ŋ ɡ
דינגען	d ɪ ŋ ɡ ə n
דיניעפּײַ	d ɪ n j ə p a ɪ̯
דיניעפּײַ	d ɪ ɲ ə p a ɪ̯
דיסטריקט	d ɪ s t ʁ ɪ k t
דיספֿאָריע	d ɪ s f ɔ ʁ j ə
דיסק	d ɪ s k
דיסקאָנטירן	d ɪ s k ɔ n t iː r n̩
דיסקל	d ɪ s k ɫ̩
דיפֿטאָנג	d ɪ f t ɔ ŋ ɡ
דיק	d ɪ k
דיקטאַטאָר	d ɪ k t a t ɔ r
דירה	d ɪ ʁ ə
דירה־געלט	d ɪ ʁ ə ɡ ɛ ɫ t
דירהלע	d ɪ ʁ ə ɫ ə
דלות	d a ɫ ə s
דעליקאַט	d ɛ ɫ ɪ k a t
דעליקאַטעסן	d ə ʎ ɪ k a t ɛ s n̩
דעלפֿין	d ɛ ʎ f ɪ n
דעלפֿינען	d ɛ ʎ f ɪ n ə n
דעמאַרק	d ə m a r k
דעמאַרק	d ɛ m a r k
דעמאָלט	d ɛ m ɔ ɫ t
דעמאָן	d ɛ m ɔ n
דעמאָניש	d ɛ m ɔ n ɪ ʃ
דען	d ə n
דען	d ɛ n
