ഁ	◌̃
തിരു	t̪ i ɾ u
തിരുത	t̪ i ɾ u d̪ ɐ
തിരുത്തുക	t̪ i ɾ u t̪ t̪ u ɡ ɐ
തിരുമ്മുക	t̪ i ɾ u m m u ɡ ɐ
തിരുവനന്തപുരം	t̪ i ɾ u ʋ ɐ n ɐ n̪ d̪ ɐ b u ɾ ɐ m
തിളങ്ങുക	t̪ i ɭ ɐ ŋ ŋ u ɡ ɐ
തിളങ്ങുന്ന	t̪ i ɭ ɐ ŋ ŋ u n̪ n̪ ɐ
തിളയ്ക്കുക	t̪ i ɭ ɐ j k k u ɡ ɐ
തിളയ്ക്കൽ	t̪ i ɭ ɐ j k k ɐ l
തീ	t̪ iː
തീക്ഷ്ണതയുള്ള	t̪ iː k ʂ ɳ ɐ d̪ ɐ j u ɭ ɭ ɐ
തീണ്ടാരി	t̪ iː ɳ ɖ aː ɾ i
തീപിടിക്കുക	t̪ iː b i ʈ i kː u ɡ a
തീപിടിത്തം	t̪ iː p i ɖ i t̪ː a m
തീപ്പെട്ടി	t̪ iː p p e ʈ ʈ i
തീപ്പെട്ടിക്കൊള്ളി	t̪ iː p p e ʈ ʈ i k k o ɭ ɭ i
തീപ്പൊരി	t̪ iː p p o ɾ i
തീമല	t̪ iː m ɐ l ɐ
തീയതി	t̪ iː j ɐ d̪ i
തീയമ്പ്	t̪ iː j ɐ m b ɨ
തീരം	t̪ iː ɾ ɐ m
തീരുക	t̪ iː ɾ u ɡ ɐ
തീരുമാനിക്കുക	t̪ iː ɾ u m äː n i kː u ɡ ä
തീറ്റ	t̪ iː t t ɐ
തീറ്റിക്കുക	t̪ iː t t i k k u ɡ ɐ
തീവണ്ടി	t̪ iː ʋ ɐ ɳ ɖ i
തീവ്രത	t̪ iː ʋ r ɐ d̪ ɐ
തീവ്രവാദം	t̪ iː ʋ r ɐ ʋ aː d̪ ɐ m
തീവ്രവാദി	t̪ iː ʋ r ɐ ʋ aː d̪ i
തീർക്കുക	t̪ iː r k k u ɡ ɐ
തീർച്ച	t̪ iː r t͡ʃː ä
തീർത്ഥം	t̪ iː r t̪ t̪ʰ ɐ m
തുകിർ	t̪ u ɡ i r
തുങ്കം	t̪ u ŋ ɡ ɐ m
തുട	t̪ u ɖ ɐ
തുടക്കം	t̪ u ɖ ɐ kː ɐ m
തുടക്കുക	t̪ u ɖ ɐ k k u ɡ ɐ
തുടക്ക്	t̪ u ɖ ɐ k k ɨ̆
തുടങ്ങുക	t̪ u ɖ ɐ ŋ ŋ u ɡ ɐ
തുടയ്ക്കുക	t̪ u ɖ ɐ j k k u ɡ ɐ
തുടയ്ക്ക്	t̪ u ɖ ɐ j k k ɨ̆
തുടരുക	t̪ u ɖ ɐ ɾ u ɡ ɐ
തുണ	t̪ u ɳ ɐ
തുണി	t̪ u ɳ i
തുനി	t̪ u n i
തുന്നുക	t̪ u n̪ n̪ u ɡ ɐ
തുന്ന്	t̪ u n̪ n̪ ɨ̆
തുപ്പുക	t̪ u p p u ɡ ɐ
തുപ്പ്	t̪ u p p ɨ̆
തുമ്പി	t̪ u m b i
തുമ്പിൾ	t̪ u m p i ɭ
തുരിശ്	t̪ u ɾ i ʃ ə
തുരുമ്പിക്കുക	t̪ u ɾ u m b i k k u ɡ ɐ
തുരുമ്പ്	t̪ u ɾ u m b ɨ̆
തുറ	t̪ u r ɐ
തുറക്കുക	t̪ u r ɐ k k u ɡ ɐ
തുറമുഖം	t̪ u r ɐ m u kʰ ɐ m
തുലാം	t̪ u l aː m
തുല്യം	t̪ u l j ɐ m
തുല്യത	t̪ u l j ɐ d̪ ɐ
തുള	t̪ u ɭ ɐ
തുളയിടുക	t̪ u ɭ ɐ j i ɖ u ɡ ɐ
തുളയ്ക്കുക	t̪ u ɭ ɐ j k k u ɡ ɐ
തുളു	t̪ u ɭ u
തുള്ളി	t̪ u ɭ ɭ i
തുള്ളുക	t̪ u ɭ ɭ u ɡ ɐ
തുഴ	t̪ u ɻ ɐ
തുഴയുക	t̪ u ɻ ɐ j u ɡ ɐ
തുഷ്ടി	t̪ u ʂ ʈ i
തുർക്കിഷ്	t̪ u r k k i ʂ ɨ̆
തൂക്കുക	t̪ uː k k u ɡ ɐ
തൂക്കുമഞ്ചം	t̪ uː k k u m ɐ ɲ d͡ʒ ɐ m
തൂമ്പ	t̪ uː m b ɐ
തൂലികാനാമം	t̪ uː l i ɡ aː n aː m ɐ m
തൂവാല	t̪ uː ʋ aː l ɐ
തൃപ്തി	t̪ r i p t̪ i
തൃശൂർ	t̪ r i ʃ uː r
തെക്ക്	t̪ e kː ɨ̆
തെങ്ങ്	t̪ eː ŋː ɨ̆
തെണ്ടുക	t̪ e ɳ ɖ u ɡ ɐ
തെരണ്ടി	t̪ e ɾ ɐ ɳ ɖ i
തെരേസ	t̪ e ɾ eː s ɐ
തെറി	t̪ e r i
തെറിപറയുക	t̪ e r i b ɐ r ɐ j u ɡ ɐ
തെറ്റിദ്ധരിക്കുക	t̪ e t t i d̪ d̪ʱ ɐ ɾ i k k u ɡ ɐ
തെറ്റിദ്ധരിപ്പിക്കുക	t̪ e t t i d̪ d̪ʱ ɐ ɾ i p p i k k u ɡ ɐ
തെറ്റുക	t̪ e t t u ɡ ɐ
തെറ്റ്	t̪ e t t ɨ̆
തെലംഗാണ	t̪ e l ɐ ŋ ɡ aː ɳ ɐ
തെലുഗു	t̪ e l u ɡ u
തെലുങ്ക്	t̪ e l u ŋ ɡ ɨ̆
തെളിയിക്കുക	t̪ e ɭ i j i k k u ɡ ɐ
തെളിയുക	t̪ e ɭ i j u ɡ ɐ
തെളിവ്	t̪ e ɭ i ʋ ɨ̆
തേ	t̪ eː
തേകുക	t̪ eː ɡ u k ɐ
തേക്കുക	t̪ eː k k u ɡ ɐ
തേക്ക്	t̪ eː kː ɨ̆
തേങ്ങ	t̪ eː ŋ ŋ ɐ
തേങ്ങാപ്പാൽ	t̪ eː ŋ ŋ aː p p aː l
തേങ്ങുക	t̪ eː ŋ ŋ u ɡ ɐ
തേടുക	t̪ eː ɖ u ɡ ɐ
തേനീച്ച	t̪ eː n iː t͡ː ʃ ɐ
തേപ്പുപെട്ടി	t̪ eː p p u b e ʈ ʈ i
തേയില	t̪ eː j i l ɐ
തേയു	t̪ eː j u
തേയുക	t̪ eː j u ɡ ɐ
തേയ്ക്കുക	t̪ eː j k k u ɡ ɐ
തേയ്ക്ക്	t̪ eː j k k ɨ̆
തേരട്ട	t̪ eː ɾ ɐ ʈ ʈ ɐ
തേരുക	t̪ eː ɾ u ɡ ɐ
തേര്	t̪ eː ɾ ɨ̆
തേറ്റ	t̪ eː tː ɐ
തേവിടിച്ചി	t̪ eː ʋ i ɖ i t͡ʃ t͡ʃ i
തേൻ	t̪ eː n
തേൾ	t̪ eː ɭ
തൈ	t̪ ɐ i̯
തൈക്ക്	t̪ ɐ i̯ k k ɨ̆
തൈലം	t̪ a i̯ l a m
തൈലക്കാരൻ	t̪ a i̯ l a kː aː ɾ a n
തൈലക്കോയിഡ്	t̪ a i̯ l a kː oː j i ɖ ɨ̆
തൊടുക	t̪ o ɖ u ɡ ɐ
തൊടുക്കുക	t̪ o ɖ u k k u ɡ ɐ
തൊണ്ട	t̪ o ɳ ɖ ɐ
തൊണ്ടുക	t̪ o ɳ ɖ u ɡ ɐ
തൊണ്ണൂറാം	t̪ o ɳ ɳ uː r aː m
തൊണ്ണൂറ്	t̪ o ɳ ɳ uː r ɨ̆
തൊപ്പി	t̪ o p p i
തൊലി	t̪ o l i
തൊള്ളായിരം	t̪ o ɭ ɭ aː j i ɾ ɐ m
തൊഴി	t̪ o ɻ i
തൊഴുത്ത്	t̪ o ɻ u t̪ t̪ ɨ̆
തോക്ക്	t̪ oː k k ɨ̆
തോട്ടം	t̪ oː ʈ ʈ ɐ m
തോട്ടി	t̪ oː ʈ ʈ i
തോണി	t̪ oː ɳ i
തോണ്ടുക	t̪ oː ɳ ɖ u ɡ ɐ
തോണ്ട്	t̪ oː ɳ ɖ ɨ̆
തോത്	t̪ oː d̪ ɨ̆
തോന്നുക	t̪ oː n̪ n̪ u ɡ ɐ
തോരുക	t̪ oː ɾ u ɡ ɐ
തോറ	t̪ oː r ä
തോറ്റ	t̪ oː t t ɐ
തോള്	t̪ oː ɭ ɨ̆
തോഴി	t̪ oː ɻ i
തോർത്ത്	t̪ oː r t̪ t̪ ɨ̆
തോൽക്കുക	t̪ oː l k k u ɡ ɐ
തോൽപിക്കുക	t̪ oː l p i k k u ɡ ɐ
തോൽവി	t̪ oː l ʋ i
ത്യാഗം	t̪ j aː ɡ ɐ m
ത്രാണി	t̪ r aː ɳ i
ത്രികോണം	t̪ r i ɡ oː ɳ ɐ m
ത്രികോണമിതി	t̪ r i ɡ oː ɳ ɐ m i d̪ i
ത്രിപുര	t̪ r i p p u ɾ ɐ
ത്രിയാമാ	t̪ r i j aː m aː
ത്രിരംഗ	t̪ ɾ i ɾ a ŋ ɡ a
ത്രിവർണം	t̪ r i ʋ a r ɳ a m
ത്രേസ്യ	t̪ r eː s j ɐ
ത്വക്ക്	t̪ ʋ ɐ k k ɨ̆
ത്വരണം	t̪ ʋ ɐ ɾ ɐ ɳ ɐ m
തർക്കം	̪ t a r k k a m
തർക്കുത്തരം	t̪ a r kː u t̪ t̪ a ɾ a m
തർജ്ജമ	t̪ ɐ r d͡ʒ d͡ʒ ɐ m ɐ
ഥ	t̪ʰ
ഥ	t̪ʰ ɐ
ദ	d̪
ദ	d̪ ɐ
ദംഭോളി	d̪ ɐ m bʱ oː ɭ i
ദംഭോളിപാണി	d̪ ɐ m bʱ oː ɭ i b aː ɳ i
ദക്ഷിണ	d̪ ɐ k ʂ i ɳ ɐ
ദക്ഷിണം	d̪ ɐ k ʂ i ɳ ɐ m
ദജ്ജാൽ	d̪ a d͡ʒ d͡ʒ aː l
ദണ്ഡം	d̪ a ɳ ɖ a m
ദണ്ഡനം	d̪ a ɳ ɖ a n a m
ദണ്ഡ്	d̪ ɐ ɳ ɖ ɨ̆
ദണ്ണം	d̪ ɐ ɳ ɳ ɐ m
ദത്തം	d̪ a t̪ː a m
ദന്തം	d̪ ɐ n̪ t̪ ɐ m
ദന്തകവചം	d̪ a n̪ d̪ a ɡ a ʋ a d͡ʒ a m
ദന്ത്യം	d̪ ɐ n̪ d̪ j ɐ m
ദയ	d̪ ɐ j ɐ
ദയവായി	d̪ ɐ j ɐ ʋ aː j i
ദയവുചെയ്ത്	d̪ ɐ j ɐ ʋ u d͡ʒ e j d̪ ɨ̆
ദല്ലാൾ	d̪ ɐ lː ä ɭ
ദശ	d̪ ɐ ʃ ɐ
ദശം	d̪ ɐ ʃ ɐ m
ദശകോടി	d̪ ɐ ʃ ɐ ɡ oː ɖ i
ദശലക്ഷം	d̪ ɐ ʃ ɐ l ɐ k ʂ ɐ m
ദസ്താവേജ്	d̪ ä s t̪ ä ʋ eː d͡ʒ ɨ̆
ദഹനം	d̪ ɐ h ɐ n ɐ m
ദാ	d̪ aː
ദാഹം	d̪ aː h ɐ m
ദിനം	d̪ i n ɐ m
ദിനംപ്രതി	d̪ i n ɐ m b r ɐ d̪ i
ദിനപത്രം	d̪ i n ɐ b ɐ t̪ r ɐ m
ദില്ലി	d̪ i l l i
ദിവസം	d̪ i ʋ a s a m
ദിവസേന	d̪ i ʋ a s eː n a
ദിവ്യ	d̪ i ʋ j ɐ
ദിവ്യം	d̪ i ʋ j ɐ m
ദിവ്യമായ	d̪ i ʋ j ɐ m aː j ɐ
ദിശ	d̪ i ʃ ɐ
ദീർഘ	d̪ iː r ɡʱ ɐ
ദീർഘക്ഷമ	d̪ iː r ɡʱ ɐ k ʂ ɐ m ɐ
ദുഃഖം	d̪ u h kʰ ɐ m
ദുനിയാവ്	d̪ u n i j äː ʋ ɨ̆
ദുരന്തം	d̪ u ɾ ɐ n̪ d̪ ɐ m
ദുരഭിമാനം	d̪ u ɾ ɐ bʱ i m aː n ɐ m
ദുരഭിമാനി	d̪ u ɾ ɐ bʱ i m aː n i
ദുരാഗ്രഹം	d̪ u ɾ aː ɡ ɾ ɐ h ɐ m
ദുരാചാരം	d̪ u ɾ aː d͡ʒ aː ɾ ɐ m
ദുരുപദേശം	d̪ u ɾ u b ɐ d̪ eː ʃ ɐ m
ദുഷ്ടത	d̪ u ʂ ʈ ɐ d̪ ɐ
ദുർഗന്ധം	d̪ u r ɡ a n̪ d̪ʱ a m
ദുർദേവത	d̪ u r d̪ eː ʋ ɐ d̪ ɐ
ദുർബല	d̪ u r b ɐ l ɐ
ദുർബലം	d̪ u r b ɐ l ɐ m
ദുർഭാഗ്യവശാൽ	d̪ u r bʱ aː ɡ j ɐ ʋ ɐ ʃ aː l
ദൂരം	d̪ uː ɾ ɐ m
ദൂരദർശൻ	d̪ uː ɾ ɐ d̪ a r ʃ ɐ n
ദൂരഭാഷണശ്രവണസഹായി	d̪ uː ɾ ɐ bʱ äː ʂ ɐ ɳ ɐ ʃ ɾ ɐ ʋ ɐ ɳ ɐ s ä h äː j i
ദൂരെ	d̪ uː ɾ e
ദൂഷ്യം	d̪ uː ʂ j ɐ m
ദൃക്സാക്ഷി	d̪ r i k s aː k ʂ i
ദൃഢത	d̪ r i ɖʱ ɐ d̪ ɐ
ദൃശ്യം	d̪ r̩ ʃ j ɐ m
ദൃഷ്ടി	d̪ r ɨ ʂ ʈ i
ദേ	d̪ eː
ദേവി	d̪ eː ʋ i
ദേശവാഴി	d̪ eː ʃ ɐ ʋ aː ɻ i
ദേശാചാരം	d̪ eː ʃ aː d͡ʒ aː ɾ ɐ m
ദേശീയ	d̪ eː ʃ iː j ɐ
ദേശീയോദ്യാനം	d̪ eː ʃ iː j oː d̪ j aː n ɐ m
ദേഷ്യപ്പെടുക	d̪ eː ʂ j ɐ p p e ɖ u ɡ ɐ
ദേഹം	d̪ eː h ɐ m
ദൈനംദിനം	d̪ a i̯ n a m d̪ i n a m
ദൈന്യം	d̪ a i̯ n j a m
ദൈവം	d̪ e i ʋ ɐ m
ദൈവം	d̪ ɐ i̯ ʋ ɐ m
ദോ	d̪ oː
ദോശ	d̪ oː ʃ ɐ
ദോഷം	d̪ oː ʂ ɐ m
ദ്രവഗതികം	d̪ r ɐ ʋ ɐ ɡ ɐ d̪ i ɡ ɐ m
ദ്രവണാങ്കം	d̪ r ɐ ʋ ɐ ɳ aː ŋ ɡ ɐ m
ദ്രവിച്ച	d̪ r ɐ ʋ i t͡ʃ t͡ʃ ɐ
ദ്രാവക	d̪ r aː ʋ ɐ ɡ ɐ
ദ്രാവിഡ	d̪ r aː ʋ i ɖ ɐ
ദ്രോണി	d̪ r oː ɳ i
ദ്രോഹം	d̪ r oː h ɐ m
ദ്രോഹി	d̪ r oː h i
ദ്രോഹിക്കുക	d̪ r oː h i k k u ɡ ɐ
ദ്വിതീയ	d̪ ʋ i d̪ iː j ɐ
ദ്വീപ്	d̪ ʋ iː p ə
ദ്വേഷം	d̪ ʋ eː ʂ ɐ m
ദർപ്പണം	d̪ ɐ r p p ɐ ɳ ɐ m
ദർബാർ	d̪ ä r b äː r
ധ	d̪ʱ
ധ	d̪ʱ ɐ
ധനം	d̪ʱ ɐ n ɐ m
ധനു	d̪ʱ ɐ n u
ധന്വം	d̪ʱ ɐ n ʋ ɐ m
ധമനി	d̪ʱ ɐ m ɐ n i
ധാതു	d̪ʱ aː d̪ u
ധാത്രി	d̪ʱ aː t̪ r i
ധാന്യം	d̪ʱ aː n j ɐ m
ധാരണം	d̪ʱ aː ɾ ɐ ɳ ɐ m
ധാരാളം	d̪ʱ aː ɾ aː ɭ ɐ m
ധിക്കാരി	d̪ʱ i k k aː ɾ i
ധീ	d̪ʱ iː
ധീവരം	d̪ʱ iː ʋ ɐ ɾ ɐ m
ധൂനി	d̪ʱ uː n i
ധൂമകേതു	d̪ʱ uː m ɐ ɡ eː d̪ u
ധൂളി	d̪ʱ uː ɭ i
ധൂർത്ത	d̪ʱ uː r t̪ t̪ ɐ
ധൂർത്തൻ	d̪ʱ uː r t̪ t̪ ɐ n
ധൃതി	d̪ʱ r i d̪ i
ധൈര്യം	d̪ʱ ɐ i̯ ɾ j ɐ m
ധ്യാനം	d̪ʱ j aː n ɐ m
ധ്രുവീകരണം	d̪ʱ r u ʋ iː ɡ ɐ ɾ ɐ ɳ ɐ m
ധ്വജം	d̪ʱ ʋ ɐ d͡ʒ ɐ m
ധ്വനി	d̪ʱ ʋ ɐ n i
ധർമ്മം	d̪ʱ ɐ r m m ɐ m
ന	n̪
ന	n̪ ɐ
നക്കുക	n̪ ɐ k k u ɡ ɐ
നക്കൽ	n̪ ä kː ɐ l
നക്രം	n̪ ɐ k r ɐ m
നക്ഷത്രം	n̪ ɐ k ʂ ɐ t̪ r ɐ m
നഖം	n̪ ɐ kʰ ɐ m
നഖംവെട്ടി	n̪ a kʰ a m ʋ e ʈː i
നഗ്നത	n̪ ɐ ɡ n ɐ d̪ ɐ
നങ്ക്	n̪ ɐ ŋ ɡ ɨ̆
നഞ്ചമ്പ്	n̪ ɐ ɲ d͡ʒ ɐ m b ɨ
നട	n̪ ɐ ɖ ɐ
നടക്കുക	n̪ ɐ ɖ ɐ k k u ɡ ɐ
നടക്ക്	n̪ ɐ ɖ ɐ k k ɨ̆
നടത്തുക	n̪ ɐ ɖ ɐ t̪ t̪ u ɡ ɐ
നടന	n̪ ɐ ɖ ɐ n ɐ
നടനം	n̪ ɐ ɖ ɐ n ɐ m
നടപ്പാലം	n̪ a ɖ a pː aː l a m
നടിക്കുക	n̪ ɐ ɖ i k k u ɡ ɐ
നടു	n̪ ɐ ɖ u
നടുക	n̪ ɐ ɖ u ɡ ɐ
നടുകടൽ	n̪ ɐ ɖ u ɡ ɐ ɖ ɐ l
നടുവേദന	n̪ ɐ ɖ u ʋ eː d̪ ɐ n ɐ
നടുവ്	n̪ ɐ ɖ u ʋ ɨ̆
നതി	n̪ ɐ d̪ i
നത്ത	n̪ ɐ t̪ t̪ ɐ
നദി	n̪ ɐ d̪ i
നന	n̪ ɐ n ɐ
നനഞ്ഞ	n̪ ɐ n ɐ ɲ ɲ ɐ
നനയുക	n̪ ɐ n ɐ j u ɡ ɐ
നനയ്ക്കുക	n̪ ɐ n ɐ j k k u ɡ ɐ
നനിമ്പ്	n̪ ɐ n i m b ɨ̆
നന്ദി	n̪ ä n̪ n̪ i
നന്മ	n̪ ɐ n m ɐ
നഭസ്സ്	n ɐ bʱ ɐ s s ə
നമസ്തേ	n̪ ɐ m ɐ s t̪ eː
നമ്പൂതിരി	n̪ ɐ m b uː d̪ i ɾ i
നമ്മൾ	n̪ ɐ m m ɐ ɭ
നയന	n̪ ɐ j ɐ n ɐ
നയനം	n̪ ɐ j ɐ n ɐ m
നയിക്കുക	n̪ ɐ j i k k u ɡ ɐ
നരക	n̪ ɐ ɾ ɐ ɡ ɐ
നരകം	n̪ ɐ ɾ ɐ ɡ ɐ m
നരഭോജി	n̪ ɐ ɾ ɐ bʱ oː d͡ʒ i
നരസിംഹം	n̪ a ɾ a s i m h a m
നരഹത്യ	n̪ ɐ ɾ ɐ h ɐ t̪ j ɐ
നരി	n̪ ɐ ɾ i
നരിച്ചീർ	n̪ ɐ ɾ i t͡ʃ t͡ʃ iː r
നരൻ	n̪ a ɾ a n
നല്ല	n̪ ɐ lː ɐ
നല്ലത്	n̪ ɐ lː ɐ d̪ ɨ̆
നല്ലപോലെ	n̪ ɐ l l ɐ b oː l e
നല്ലെണ്ണ	n̪ ɐ l l e ɳ ɳ ɐ
നവംബർ	n a ʋ a m b a r
നവാംഗി	n̪ a ʋ aː n ɡ i
നവി	n ä ʋ i
നവീകരിക്കുക	n̪ ɐ ʋ iː ɡ ɐ ɾ i k k u ɡ ɐ
നശിക്കുക	n̪ ɐ ʃ i kː u ɡ ɐ
നശിപ്പിക്കുക	n̪ ɐ ʃ i p p i k k u ɡ ɐ
നശീകരണം	n̪ ɐ ʃ iː ɡ ɐ ɾ ɐ ɳ ɐ m
നഷ്ടപ്പെടുക	n̪ ɐ ʂ ʈ ɐ p p e ɖ u ɡ ɐ
നഷ്ടപ്പെടുത്തുക	n̪ ɐ ʂ ʈ ɐ p p e ɖ u t̪ t̪ u ɡ ɐ
നസ്രാണി	n̪ ɐ s r aː ɳ i
നസ്രായൻ	n̪ ɐ s r aː j ɐ n
നാം	n̪ aː m
നാകം	n̪ aː ɡ a m
നാഗം	n̪ aː ɡ ɐ m
നാഗാലാന്റ്	n̪ aː ɡ aː l aː n d ɨ̆
നാങ്ക്	n̪ aː ŋ ɡ ɨ̆
നാടകം	n̪ aː ɖ ɐ ɡ ɐ m
നാടോടി	n̪ aː ɖ oː ʈ i
നാട്	n̪ aː ɖ ɨ̆
നാട്ടിൻപുറം	n̪ aː ʈː i n b u r a m
നാട്ടുകാരൻ	n̪ äː ʈː u ɡ äː ɾ ɐ n
നാഡി	n̪ aː ɖ i
നാണയം	n̪ aː ɳ a j a m
നാത്തൂൻ	n̪ aː t̪ t̪ uː n
നാനാർത്ഥം	n aː n aː r t̪ t̪ʰ a m
നാനൂറ്	n̪ aː n uː r ɨ̆
നാന്നൂറാം	n̪ aː n̪ n̪ uː r aː m
നാന്നൂറ്	n̪ aː n̪ n̪ uː r ɨ̆
നാഩ഼കു	n̪ aː n̪ k u
നാപിതൻ	n̪ aː b i d̪ a n
നാമ	n̪ aː m ɐ
നാമം	n̪ aː m ɐ m
നാമനിർദ്ദേശം	n̪ aː m a n i r d̪ː eː ʃ a m
നാമവിശേഷണം	n̪ aː m ɐ ʋ i ʃ eː ʂ ɐ ɳ ɐ m
നായ	n̪ aː j ɐ
നായാടുക	n̪ aː j aː ɖ u ɡ ɐ
നായാട്	n̪ aː j aː ɖ ɨ̆
നാരങ്ങ	n̪ aː ɾ ɐ ŋ ŋ ɐ
നാരി	n̪ aː ɾ i
നാരൻ	n̪ aː ɾ ɐ n
നാറി	n̪ aː r i
നാറുക	n̪ aː r u ɡ ɐ
നാലമ്പലം	n̪ aː l ɐ m b ɐ l ɐ m
നാലാം	n̪ aː l aː m
നാലാംകിട	n̪ aː l aː ŋ k i ɖ ɐ
നാല്	n̪ aː l ɨ̆
നാല്പതാം	n̪ aː l p ɐ d̪ aː m
നാല്പത്	n̪ aː l p ɐ d̪ ɨ̆
നാളി	n̪ aː ɭ i
നാളികേരം	n̪ aː ɭ i ɡ eː ɾ ɐ m
നാളെ	n̪ aː ɭ e
നാഴിക	n̪ aː ɻ i ɡ ɐ
നാഴികക്കല്ല്	n̪ aː ɻ i ɡ ɐ k k ɐ l l ə
നാവിതൻ	n̪ aː ʋ i d̪ a n
നാസ്തികൻ	n̪ aː s t̪ i ɡ a n
നാൽകാലി	n̪ aː l k aː l i
നിക്കാഹ്	n i kː äː h ɨ̆
നിക്ക്	n̪ i k k ɨ̆
നിക്ഷേപം	n̪ i k ʂ eː b ɐ m
നിക്ഷേപക	n̪ i k ʂ eː b ɐ ɡ ä
നിക്ഷേപകൻ	n̪ i k ʂ eː b ɐ ɡ ɐ n
നിഗമനം	n̪ i ɡ a m a n a m
നിഗൂഢ	n̪ i ɡ uː ɖʱ ɐ
നിഗൂഢം	n̪ i ɡ uː ɖʱ a m
നിഗൂഢത	n̪ i ɡ uː ɖʱ ɐ d̪ ɐ
നിഗൂഢമായ	n̪ i ɡ uː ɖʱ ɐ m aː j ɐ
നിഗ്രഹം	n̪ i ɡ ɾ ɐ h ɐ m
നിഘണ്ടു	n̪ i ɡʱ ɐ ɳ ɖ u
നിങ്ങൾ	n̪ i ŋ ŋ ɐ ɭ
നിണം	n̪ i ɳ ɐ m
നിതംബം	n̪ i d̪ a m b a m
നിത്യ	n̪ i t̪ j a
നിത്യം	n̪ i t̪ j a m
നിനവ്	n̪ i n ɐ ʋ ɨ̆
നിന്ദിക്കുക	n̪ i n̪ d̪ i k k u ɡ ɐ
നിന്നെ	n̪ i n n e
നിന്നെ	n̪ i n̪ n̪ e
നിപുണൻ	n i b u ɳ ɐ n
നിബിഡ	n̪ i b i ɖ ɐ
നിമിത്തം	n̪ i m i t̪ t̪ ɐ m
നിമിഷ	n̪ i m i ʂ ɐ
നിമിഷം	n̪ i m i ʂ ɐ m
നിയന്ത്രണചരം	n̪ i j ɐ n̪ d̪ r ɐ ɳ ɐ d͡ʒ ɐ ɾ ɐ m
നിയന്ത്രിക്കുക	n̪ i j ɐ n̪ d̪ r i k k u ɡ ɐ
നിയമം	n̪ i j a m a m
നിയുക്ത	n̪ i j u k t̪ ɐ
നിയോഗം	n̪ i j oː ɡ a m
നിയോൺ	n i j oː ɳ
നിരക്ക്	n̪ i ɾ ɐ kː ɨ̆
നിരന്തരം	n̪ i ɾ ɐ n̪ d̪ ɐ ɾ ɐ m
നിരവധി	n̪ i ɾ ɐ ʋ ɐ d̪ʱ i
നിരാകരണം	n̪ i ɾ aː ɡ ɐ ɾ ɐ ɳ ɐ m
നിരീക്ഷിക്കുക	n̪ i ɾ iː k ʂ i k k u ɡ ɐ
നിരീശ്വരവാദം	n̪ i ɾ iː ʃ ʋ a ɾ a ʋ aː d̪ a m
നിരീശ്വരവാദി	n̪ i ɾ iː ʃ ʋ ɐ ɾ ɐ ʋ aː d̪ i
നിരൂപകൻ	n̪ i ɾ uː b a ɡ a n
നിരോധിക്കുക	n̪ i ɾ oː d̪ʱ i k k u ɡ ɐ
നിര്യാണം	n̪ i ɾ j äː ɳ ɐ m
നിര്യാതനാകുക	n̪ i ɾ j aː d̪ ɐ n aː ɡ u k ɐ
നിര്യാതൻ	n̪ i ɾ j aː d̪ ɐ n
നിറം	n̪ i r ɐ m
നിറഞ്ഞ	n̪ i r ɐ ɲ ɲ ɐ
നിറയുക	n̪ i r ɐ j u ɡ ɐ
നിറയ്ക്കുക	n̪ i r ɐ j k k u ɡ ɐ
നിറവേറ്റുക	n̪ i r ɐ ʋ eː t t u ɡ ɐ
നില	n̪ i l ɐ
നിലയ്ക്കുക	n̪ i l ɐ j k k u ɡ ɐ
നിലവാരം	n̪ i l a ʋ aː ɾ a m
നിലവിളക്ക്	n̪ i l ɐ ʋ i ɭ ɐ k k ɨ̆
നിലവിളിക്കുക	n̪ i l ɐ ʋ i ɭ i k k u ɡ ɐ
നിലാവ്	n̪ i l äː ʋ ɨ̆
നിഴൽ	n̪ i ɻ ɐ l
നിവാരണ	n̪ i ʋ aː ɾ ɐ ɳ ɐ
നിവാരണം	n̪ i ʋ aː ɾ a ɳ a m
നിശ	n̪ i ʃ ɐ
നിശാന്ധത	n̪ i ʃ aː n̪ d̪ʱ a t̪ a
നിശാശലഭം	n̪ i ʃ aː ʃ a l a bʱ a m
നിശീഥം	n̪ i ʃ iː t̪ʰ a m
നിശീഥിനി	n̪ i ʃ iː t̪ʰ i n i
നിശ്ചയം	n̪ i ʃ t͡ʃ ɐ j ɐ m
നിശ്ചിത	n̪ i ʃ t͡ʃ i d̪ ɐ
നിശ്ശബ്ദം	n̪ i ʃː ɐ b d̪ ɐ m
നിഷേധിക്കുക	n̪ i ʂ eː d̪ʱ i k k u ɡ ɐ
നിഷ്പക്ഷ	n̪ i ʂ p ɐ k ʂ ɐ
നിഷ്പക്ഷം	n̪ i ʂ p ɐ k ʂ ɐ m
നിഷ്പക്ഷത	n̪ i ʂ p ɐ k ʂ ɐ d̪ ɐ
നിഷ്പക്ഷമായി	n̪ i ʂ p ɐ k ʂ ɐ m aː j i
നിഷ്ഫല	n̪ i ʂ f ɐ l ɐ
നിസ്സംഗത	n̪ i s s ɐ ŋ ɡ ɐ d̪ ɐ
നിർണയിക്കുക	n̪ i r ɳ ɐ j i k k u ɡ ɐ
നിർത്തുക	n̪ i r t̪ t̪ u ɡ ɐ
നിർധന	n̪ i ɾ d̪ʱ ɐ n ɐ
