lajati	l áː j a t i
lakota	l àː k ɔ t a
lama	l àː m a
lama	l àː m a
Lana	l áː n a
lani	l àː n i
lantan	l a n t áː n
Laos	l áː ɔ s
las	l áː s
last	l áː s t
lasten	l àː s t ə n
lastnina	l a s t n ìː n a
lastnost	l a s t n óː s t
lastovica	l àː s t ɔ ʋ i t͡s a
lastovka	l àː s t ɔ ʋ k a
latinica	l a t íː n i t͡s a
latinski	l a t íː n s k i
latinščina	l a t íː n ʃ t͡ʃ i n a
Latvija	l àː t ʋ i j a
Latvijec	l àː t ʋ i j ə t͡s
Latvijka	l àː t ʋ i j k a
latvijski	l àː t ʋ i j s k i
latvijsko	l àː t ʋ i j s k ɔ
latvijščina	l àː t ʋ i j ʃ t͡ʃ i n a
Lavra	l áː ʋ r a
lavrencij	l a ʋ r èː n t͡s i j
laž	l áː ʃ
lažji	l áː ʒ j i
lažnivec	l a ʒ n íː ʋ ə t͡s
le	l ɛ́
Leban	l ɛ̀ː b a n
leča	l èː t͡ʃ a
leči	l èː t͡ʃ i
led	l éː t
led	l éː t
Leda	l ɛ̀ː d a
ledenik	l ɛ d ɛ n ìː k
ledina	l ɛ d ìː n a
ledolomilec	l ɛ d ɔ l ɔ m íː l ɛ t͡s
ledvica	l ɛ d ʋ ìː t͡s a
legendaren	l ɛ ɡ ɛ n d áː r ə n
leha	l èː x a
Lejla	l ɛ j l a
lek	l éː k
lemež	l éː m ɛ ʃ
lemež	l ɛ̀ː m ɛ ʃ
len	l éː n
len	l ɛ́ n
lenivec	l ɛ n íː ʋ ə t͡s
Leon	l éː ɔ n
Leopoldina	l ɛ ɔ p ɔ l d íː n a
lep	l éː p
lep	l éː p
Lepa	l ɛ̀ː p a
lepiti	l ɛ p ìː t i
lepiti	l ɛ p íː t i
lepiti	l èː p i t i
lepota	l ɛ p ɔ̀ː t a
lepši	l éː p ʃ i
les	l éː s
Lesjak	l èː s j a k
leska	l èː s k a
lesketati	l ɛ s k ɛ t àː t i
Lesoto	l ɛ s ɔ̀ː t ɔ
lesti	l èː s t i
lestvica	l èː s t ʋ i t͡s a
lešnik	l èː ʃ n i k
Lešnik	l èː ʃ n i k
lešnikar	l èː ʃ n i k a r
let	l ɛ́ t
letališče	l ɛ t a l ìː ʃ t͡ʃ ɛ
letalo	l ɛ t àː l ɔ
leten	l éː t ə n
leteti	l ɛ t èː t i
leto	l èː t ɔ
lev	l ɛ́ ʋ
levinja	l ɛ ʋ ìː n j a
levinja	l ɛ̀ː ʋ i n j a
levinja	l ɛ́ː ʋ i n j a
lezbijka	l èː z b i j k a
ležaj	l ɛ ʒ áː j
ležati	l ɛ ʒ àː t i
Libanon	l íː b a n ɔ n
Liberija	l i b ɛ̀ː r i j a
libidinozen	l i b i d i n óː z ə n
libido	l íː b i d ɔ
Libija	l ìː b i j a
lice	l ìː t͡s ɛ
lice	l íː t͡s ɛ
licemer	l i t͡s ɛ m éː r
licenca	l i t͡s éː n t͡s a
ličinka	l i t͡ʃ íː n k a
ličnica	l íː t͡ʃ n i t͡s a
liga	l ìː ɡ a
Lihtenštajn	l i x t ɛ n ʃ t a j n
lijak	l i j àː k
likalnik	l i k áː l n i k
likati	l íː k a t i
limona	l i m óː n a
limonada	l i m ɔ n áː d a
lipa	l ìː p a
Lipovec	l ìː p ɔ ʋ ə t͡s
lira	l íː r a
lisica	l i s ìː t͡s a
lisička	l i s ìː t͡ʃ k a
list	l íː s t
lišaj	l i ʃ áː j
liter	l ìː t ə r
literatura	l i t ɛ r a t úː r a
liti	l ìː t i
litij	l ìː t i j
Litovec	l ìː t ɔ ʋ ə t͡s
Litovka	l ìː t ɔ ʋ k a
litovski	l íː t ɔ ʋ s k i
litovsko	l íː t ɔ ʋ s k ɔ
litovščina	l ìː t ɔ ʋ ʃ t͡ʃ i n a
liturgija	l i t u r ɡ íː j a
Litva	l íː t ʋ a
lizati	l ìː z a t i
lizati	l i z àː t i
Lizbona	l i z b óː n a
ljubeč	l j u b ɛ́ t͡ʃ
ljubezen	l j u b éː z ə n
Ljubica	l j úː b i t͡s a
ljubit	l j ùː b i t
ljubiti	l j u b ìː t i
ljubiti	l j u b íː t i
ljubiti	l j ùː b i t i
ljubiti	l j úː b i t i
ljubljenje	l j ùː b l j ɛ n j ɛ
ljubljenje	l j úː b l j ɛ n j ɛ
ljubosumen	l j u b ɔ s ùː m ə n
ljubosumnejši	l j u b ɔ s ùː m n ɛ j ʃ i
ljubosumnost	l j u b ɔ s ùː m n ɔ s t
ljudski	l j úː t s k i
lobanja	l ɔ b àː n j a
ločevati	l ɔ t͡ʃ ɛ ʋ àː t i
ločiti	l ɔ t͡ʃ ìː t i
ločiti	l ɔ t͡ʃ íː t i
ločiti	l òː t͡ʃ i t i
ločnica	l ɔ t͡ʃ n ìː t͡s a
log	l óː k
Logar	l ɔ̀ː ɡ a r
Logatec	l ɔ ɡ áː t ɛ t͡s
Lojk	l ɔ̀ː j k
lok	l óː k
lokacija	l ɔ k àː t͡s i j a
lokativ	l óː k a t i ʋ
lokomotiva	l ɔ k ɔ m ɔ t íː ʋ a
lom	l ɔ́ m
Lombardija	l ɔ m b a r d íː j a
lomiti	l ɔ m ìː t i
lomiti	l ɔ m íː t i
London	l ɔ̀ː n d ɔ n
lonec	l ɔ̀ː n ə t͡s
lopata	l ɔ p àː t a
lopov	l óː p ɔ ʋ
lopov	l ɔ́ː p ɔ ʋ
los	l óː s
losos	l óː s ɔ s
lotos	l óː t ɔ s
lovec	l ɔ̀ː ʋ ə t͡s
loviti	l ɔ ʋ ìː t i
loviti	l ɔ ʋ íː t i
lovka	l ɔ́ː ʋ k a
loza	l ɔ̀ː z a
loza	l òː z a
Lozej	l ɔ̀ː z ɛ j
lubenica	l úː b ɛ n i t͡s a
lubje	l ùː b j ɛ
Lucija	l u t͡s íː j a
luč	l ùː t͡ʃ
luč	l úː t͡ʃ
Lučka	l ùː t͡ʃ k a
lug	l ùː k
lug	l úː k
luka	l ùː k a
Luka	l ùː k a
luknja	l úː k n j a
Luksemburg	l úː k s ɛ m b u r k
luksemburški	l úː k s ɛ m b u r ʃ k i
luksemburški	l u k s ɛ m b úː r ʃ k i
lulček	l úː l t͡ʃ ə k
lumparija	l u m p a r íː j a
lun	l ùː n
luna	l ùː n a
Luna	l ùː n a
lunah	l ùː n a x
lunam	l ùː n a m
lunama	l ùː n a m a
lunami	l ùː n a m i
lunaren	l u n áː r ə n
lune	l ùː n ɛ
luni	l ùː n i
luno	l ùː n ɔ
lusk	l úː s k
luska	l ùː s k a
Lutar	l ùː t a r
lutecij	l u t èː t͡s i j
luteranec	l u t ɛ r áː n ə t͡s
lutnja	l úː t n j a
M	ɛ m
macesen	m a t͡s ɛ̀ː s ə n
mačeha	m àː t͡ʃ ɛ x a
maček	m àː t͡ʃ ə k
mačka	m áː t͡ʃ k a
Madrid	m a d r ìː t
Madžar	m a d͡ʒ áː r
Madžarka	m a d͡ʒ áː r k a
Madžarska	m a d͡ʒ áː r s k a
madžarski	m a d͡ʒ áː r s k i
madžarsko	m a d͡ʒ áː r s k ɔ
madžarščina	m a d͡ʒ áː r ʃ t͡ʃ i n a
mafija	m àː f i j a
magnet	m a ɡ n éː t
magnezij	m a ɡ n éː z i j
magnituda	m a ɡ n i t úː d a
mah	m áː x
mah	m á x
mah	m áː x
mah	m áː x
mah	m áː x
maj	m àː j
Maj	m àː j
Maja	m àː j a
majati	m a j àː t i
majati	m àː j a t i
Majcen	m àː j t͡s ɛ n
Majda	m áː j d a
majhen	m áː j x ə n
majoneza	m a j ɔ n éː z a
majorka	m a j óː r k a
mak	m á k
mak	m áː k
Makedonec	m a k ɛ d óː n ə t͡s
Makedonija	m a k ɛ d òː n i j a
Makedonka	m a k ɛ d óː n k a
makedonski	m a k ɛ d óː n s k i
makedonščina	m a k ɛ d óː n ʃ t͡ʃ i n a
maklen	m a k l ɛ́ n
malarija	m a l àː r i j a
Malavi	m a l àː ʋ i
Maldivi	m a l d íː ʋ i
Malezija	m a l èː z i j a
Mali	m àː l i
malina	m a l ìː n a
malo	m àː l ɔ
Malta	m áː l t a
Malte	m áː l t ɛ
malteščina	m a l t éː ʃ t͡ʃ i n a
malteški	m a l t éː ʃ k i
malteško	m a l t éː ʃ k ɔ
Maltežan	m a l t ɛ ʒ á n
Maltežan	m a l t ɛ ʒ áː n
Maltežanka	m a l t ɛ ʒ áː n k a
Malti	m áː l t i
Malto	m áː l t ɔ
mamilo	m a m ìː l ɔ
mamut	m áː m u t
Manca	m áː n t͡s a
mandolina	m a n d ɔ l íː n a
mangan	m a n ɡ áː n
Manica	m áː n i t͡s a
Manila	m a n ìː l a
manjkati	m áː n k a t i
manjšalnica	m a n ʃ áː l n i t͡s a
manjši	m áː n ʃ i
marec	m àː r ə t͡s
marelica	m a r éː l i t͡s a
Maribor	m àː r i b ɔ r
Marija	m a r íː j a
Marina	m a r íː n a
Marjan	m áː r j a n
Marjana	m a r j áː n a
Marjanca	m a r j áː n t͡s a
Marjetica	m a r j éː t i t͡s a
Marjetka	m a r j éː t k a
Marko	m àː r k ɔ
Maroko	m a r óː k ɔ
Marolt	m áː r ɔ l t
Mars	m áː r s
Marta	m áː r t a
Maruša	m a r úː ʃ a
masa	m áː s a
Maselj	m àː s ɛ l
maslen	m a s l èː n
maslen	m a s l éː n
maslo	m àː s l ɔ
masturbacija	m a s t u r b àː t͡s i j a
masturbirati	m a s t u r b íː r a t i
maša	m àː ʃ a
Matej	m a t ɛ́ː j
Mateja	m a t ɛ́ː j a
matematika	m a t ɛ m àː t i k a
materen	m áː t ɛ r ə n
maternica	m áː t ɛ r n i t͡s a
mati	m àː t i
Matic	m a t íː t͡s
matica	m áː t i t͡s a
Matjaž	m a t j àː ʃ
Mavec	m àː ʋ ə t͡s
Mavretanija	m a ʋ r ɛ t àː n i j a
mavrica	m áː ʋ r i t͡s a
me	m éː
meč	m ɛ́ t͡ʃ
mečji	m éː t͡ʃ j i
med	m ɛ t
med	m éː t
med	m éː t
meden	m ɛ d éː n
meden	m ɛ d éː n
medenica	m ɛ d ɛ n ìː t͡s a
medica	m ɛ d ìː t͡s a
medicina	m ɛ d i t͡s íː n a
medved	m ɛ̀ː d ʋ ɛ t
medvedka	m ɛ d ʋ éː t k a
megavat	m éː ɡ a ʋ áː t
megla	m ə ɡ l á
megla	m ə̀ ɡ l a
meglica	m ə ɡ l ìː t͡s a
meh	m éː x
mehaničen	m ɛ x àː n i t͡ʃ ə n
mehek	m ɛ̀ː x ə k
Mehika	m éː x i k a
mehkužec	m ɛ x k úː ʒ ə t͡s
meja	m ɛ̀ː j a
Mejak	m ɛ j àː k
mejiti	m ɛ j ìː t i
mejiti	m ɛ j íː t i
Meka	m èː k a
melancana	m ɛ l a n t͡s áː n a
Melanija	m ɛ l àː n i j a
melodija	m ɛ l ɔ d íː j a
melona	m ɛ l óː n a
mendelevij	m ɛ n d ɛ l èː ʋ i j
Mengeš	m ɛ̀ː n ɡ ɛ ʃ
menih	m ɛ n í x
menih	m ə n í x
meniti	m ɛ n ìː t i
meniti	m ɛ n íː t i
meniti	m èː n i t i
meniti	m ɛ n ìː t i
meniti	m ɛ n íː t i
menjati	m èː n j a t i
menjati	m ɛ n j àː t i
menstruacija	m ɛ n s t r u àː t͡s i j a
meriti	m èː r i t i
merjasec	m ɛ r j àː s ə t͡s
Merkur	m ɛ r k úː r
mesar	m ɛ s àː r
mesec	m éː s ə t͡s
Mesec	m éː s ə t͡s
Mesija	m ɛ s íː j a
meso	m ɛ s óː
mesojedec	m ɛ s ɔ j éː d ə t͡s
mesti	m ɛ̀ː s t i
mesti	m èː s t i
mesti	m ɛ̀ː s t i
mestnik	m éː s t n i k
mesto	m èː s t ɔ
mešati	m èː ʃ a t i
mešati	m ɛ ʃ àː t i
met	m ɛ́ t
meta	m éː t a
metafizika	m ɛ t a f ìː z i k a
metati	m ɛ t àː t i
Meterc	m ɛ t ɛ̀ː r t͡s
metež	m éː t ɛ ʃ
meti	m èː t i
Metka	m éː t k a
metla	m ɛ̀ː t l a
Metod	m ɛ t óː t
Metoda	m ɛ t óː d a
metulj	m ɛ t ùː l
mezeg	m ə z ə́ k
mezeg	m ə̀ z ə k
mezinec	m ɛ z íː n ə t͡s
mezon	m ɛ z óː n
mi	m íː
Miha	m ìː x a
Mihael	m íː x a ɛ l
Mihaela	m íː x a ɛ l a
Mihelič	m íː x ɛ l i t͡ʃ
Mija	m ìː j a
Mikič	m i k i t͡ʃ
Miklavec	m i k l a ʋ ɛ t͡s
Miklavž	m i k l áː ʋ ʃ
mil	m íː l
Milan	m íː l a n
miličnica	m i l íː t͡ʃ n i t͡s a
miličnik	m i l íː t͡ʃ n i k
milijon	m i l i j óː n
milimeter	m i l i m èː t ə r
milisekunda	m íː l i s ɛ k úː n d a
militi	m ìː l i t i
militi	m íː l i t i
militi	m ìː l i t i
milo	m ìː l ɔ
milo	m ìː l ɔ
Miloš	m íː l ɔ ʃ
mina	m íː n a
mineralogija	m i n ɛ r a l ɔ ɡ íː j a
miniti	m i n ìː t i
miniti	m i n íː t i
minuta	m i n úː t a
mir	m íː r
mir	m íː r
Mirna	m íː r n a
Mirna	m ìː r n a
mirta	m ìː r t a
misel	m íː s ə ʋ
misliti	m ìː s l i t i
Mislovič	m ìː s l ɔ ʋ i t͡ʃ
miš	m í ʃ
mišica	m íː ʃ i t͡s a
mišičen	m íː ʃ i t͡ʃ ə n
mišjak	m íː ʃ j a k
miška	m íː ʃ k a
Mišmaš	m i ʃ m àː ʃ
miti	m ìː t i
Mitja	m íː t j a
mitologija	m i t ɔ l ɔ ɡ íː j a
mitološki	m i t ɔ l óː ʃ k i
miza	m ìː z a
mizantropija	m i z a n t r ɔ p íː j a
Mjanmar	m j a n m áː r
mlad	m l áː t
mladič	m l a d í t͡ʃ
mladina	m l a d ìː n a
mladost	m l a d óː s t
mlajši	m l áː j ʃ i
mlaka	m l àː k a
mlakar	m l áː k a r
mlečen	m l èː t͡ʃ ə n
mleko	m l èː k ɔ
mlesti	m l èː s t i
mleti	m l èː t i
mlin	m l íː n
Mlinar	m l ìː n a r
množina	m n ɔ ʒ ìː n a
mobilen	m ɔ b íː l ɛ n
moč	m óː t͡ʃ
moča	m òː t͡ʃ a
močerad	m ɔ t͡ʃ ɛ r á t
moči	m ɔ̀ː t͡ʃ i
močvirje	m ɔ t͡ʃ ʋ íː r j ɛ
moder	m òː d ə r
moder	m òː d ə r
modernizirati	m ɔ d ɛ r n i z íː r a t i
modnik	m óː d n i k
modo	m òː d ɔ
modo	m óː d ɔ
modrec	m óː d r ə t͡s
modrejši	m ɔ d r ɛ́ː j ʃ i
modrejši	m òː d r ɛ j ʃ i
modrost	m òː d r ɔ s t
modrost	m ɔ d r óː s t
mogoče	m ɔ ɡ òː t͡ʃ ɛ
Mohamed	m òː x a m ɛ t
Mohar	m ɔ̀ː x a r
moj	m òː j
Mojca	m óː j t͡s a
mojster	m òː j s t ə r
Mojzes	m óː j z ɛ s
moka	m òː k a
moker	m òː k ə r
Mokoš	m ɔ k ɔ̀ː ʃ
molčati	m ɔ ʋ t͡ʃ àː t i
Moldavija	m ɔ l d àː ʋ i j a
molekula	m ɔ l éː k u l a
molibden	m ɔ l i b d éː n
molitev	m ɔ l íː t ə ʋ
moliti	m ɔ l ìː t i
moliti	m ɔ l íː t i
moliti	m ɔ l ìː t i
moliti	m ɔ l íː t i
molk	m ɔ́ː ʋ k
molsti	m ɔ̀ː ʋ s t i
Monako	m ɔ n áː k ɔ
monarh	m ɔ n á r x
monarhija	m ɔ n a r x íː j a
Mongolija	m ɔ n ɡ ɔ̀ː l i j a
monom	m ɔ n óː m
monoteizem	m ɔ n ɔ t ɛ ìː z ə m
morati	m óː r a t i
Moravec	m ɔ r àː ʋ ə t͡s
morda	m ɔ r d á
morda	m óː r d a
moriti	m ɔ r ìː t i
moriti	m ɔ r íː t i
morje	m óː r j ɛ
morje	m ɔ r j éː
mornarica	m ɔ r n áː r i t͡s a
mornarka	m ɔ r n àː r k a
morski	m ɔ̀ː r s k i
Moskva	m óː s k ʋ a
most	m óː s t
mošeja	m ɔ ʃ ɛ́ː j a
moški	m ɔ̀ː ʃ k i
mošt	m ɔ́ ʃ t
motika	m ɔ t íː k a
motor	m óː t ɔ r
Mozambik	m ɔ z a m b ìː k
mož	m óː ʃ
možen	m òː ʒ ə n
možgani	m ɔ ʒ ɡ áː n i
možnar	m òː ʒ n a r
možnost	m òː ʒ n ɔ s t
mravlja	m r àː ʋ l j a
mravlja	m r áː ʋ l j a
mraz	m r á s
mreti	m r èː t i
mreža	m r èː ʒ a
mrhovina	m ə r x ɔ ʋ ìː n a
mrkev	m ə̀ r k ə ʋ
mrkva	m ə̀ r k ʋ a
mrož	m r óː ʃ
mrtev	m ə̀ r t ə ʋ
muditi	m u d ìː t i
muditi	m u d íː t i
muflon	m u f l óː n
muha	m ùː x a
mujezin	m u j ɛ z íː n
mula	m ùː l a
mulj	m úː l
mungo	m úː n ɡ ɔ
murva	m úː r ʋ a
muskularen	m u s k u l áː r ə n
musliman	m u s l i m áː n
muslimanka	m u s l i m áː n k a
muslimanski	m u s l i m áː n s k i
mušnica	m úː ʃ n i t͡s a
muzej	m u z ɛ́ː j
muzikalen	m u z i k áː l ə n
muzikologija	m u z i k ɔ l ɔ ɡ íː j a
na	n a
nacionalizem	n a t͡s i ɔ n a l ìː z ə m
nacizem	n a t͡s ìː z ɛ m
nacizem	n a t͡s íː z ɛ m
načelo	n a t͡ʃ ɛ̀ː l ɔ
načelo	n a t͡ʃ ɛ́ː l ɔ
načeti	n a t͡ʃ èː t i
načrt	n a t͡ʃ ə́ r t
nad	n a t
Nada	n áː d a
nadarjen	n a d áː r j ɛ n
nadlegovati	n a d l ɛ ɡ ɔ ʋ àː t i
nadporočnica	n a t p ɔ r óː t͡ʃ n i t͡s a
nadporočnik	n a t p ɔ r óː t͡ʃ n i k
nadzorovati	n a d z ɔ r ɔ ʋ àː t i
naenkrat	n a ɛ̀ː n k r a t
nafta	n áː f t a
nag	n áː k
nagel	n àː ɡ ə ʋ
nagelj	n àː ɡ ə l
Nagelj	n àː ɡ ə l
naglas	n a ɡ l á s
naglasoslovje	n a ɡ l a s ɔ s l ɔ́ː ʋ j ɛ
naglejši	n àː ɡ l ɛ j ʃ i
najabsurdnejši	n á j a p s úː r d n ɛ j ʃ i
najbednejši	n á j b èː d n ɛ j ʃ i
najbelejši	n á j b ɛ l ɛ́ː j ʃ i
najbetežnejši	n á j b ɛ t èː ʒ n ɛ j ʃ i
najbliže	n á j b l íː ʒ ɛ
najbližje	n á j b l íː ʒ j ɛ
najbogatejši	n á j b ɔ ɡ a t ɛ́ː j ʃ i
najbolj	n á j b ɔ l
najbolje	n á j b óː l j ɛ
najboljše	n á j b óː l ʃ ɛ
najboljši	n á j b óː l ʃ i
najbradatejši	n á j b r a d àː t ɛ j ʃ i
najbrihtnejši	n á j b r ìː x t n ɛ j ʃ i
najbudnejši	n á j b ùː d n ɛ j ʃ i
najdalj	n á j d á l
najdaljši	n á j d áː l ʃ i
najdebelejši	n á j d ɛ b ɛ l ɛ́ː j ʃ i
najdejavnejši	n á j d ɛ j àː ʋ n ɛ j ʃ i
najdejavnejši	n á j d ɛ j áː ʋ n ɛ j ʃ i
najdolgočasnejši	n á j d ɔ l ɡ ɔ t͡ʃ àː s n ɛ j ʃ i
najdražji	n á j d r áː ʒ j i
najglasnejši	n á j ɡ l a s n ɛ́ː j ʃ i
najglušji	n á j ɡ l úː ʃ j i
najgrji	n á j ɡ ə́ r j i
najgrozljivejši	n á j ɡ r ɔ z l j ìː ʋ ɛ j ʃ i
najgrši	n á j ɡ ə́ r ʃ i
najhitreje	n á j x i t r ɛ̀ː j ɛ
najhitrejše	n á j x i t r ɛ̀ː j ʃ ɛ
najhujši	n á j x úː j ʃ i
najin	n áː j i n
najjasnejši	n á j j àː s n ɛ j ʃ i
najjasnejši	n á j j a s n ɛ́ː j ʃ i
najjeznejši	n á j j èː z n ɛ j ʃ i
najkrajši	n á j k r áː j ʃ i
najkrutejši	n á j k r ùː t ɛ j ʃ i
najkrutejši	n á j k r úː t ɛ j ʃ i
najlažji	n á j l áː ʒ j i
najlepši	n á j l éː p ʃ i
najljubosumnejši	n á j l j u b ɔ s ùː m n ɛ j ʃ i
najmanjši	n á j m áː n ʃ i
najmečji	n á j m éː t͡ʃ j i
najmlajši	n á j m l áː j ʃ i
najmodrejši	n á j m ɔ d r ɛ́ː j ʃ i
najmodrejši	n á j m òː d r ɛ j ʃ i
najnaglejši	n á j n àː ɡ l ɛ j ʃ i
najnaravnejši	n á j n a r àː ʋ n ɛ j ʃ i
najnepotrpežljivejši	n á j n ɛ́ p ɔ t ə r p ɛ ʒ l j ìː ʋ ɛ j ʃ i
najneumnejši	n á j n ɛ ùː m n ɛ j ʃ i
najnevarnejši	n á j n ɛ ʋ àː r n ɛ j ʃ i
najnižji	n á j n íː ʒ j i
najobčutljivejši	n á j ɔ p t͡ʃ u t l j ìː ʋ ɛ j ʃ i
najočitnejši	n á j ɔ t͡ʃ ìː t n ɛ j ʃ i
najodličnejši	n á j ɔ d l ìː t͡ʃ n ɛ j ʃ i
najokusnejši	n á j ɔ k ùː s n ɛ j ʃ i
najosnovnejši	n á j ɔ s n ɔ́ː ʋ n ɛ j ʃ i
najožji	n á j óː ʒ j i
najpestrejši	n á j p èː s t r ɛ j ʃ i
najplodnejši	n á j p l òː d n ɛ j ʃ i
najpočasneje	n á j p ɔ t͡ʃ àː s n ɛ j ɛ
najpočasneje	n á j p ɔ t͡ʃ a s n ɛ́ː j ɛ
najpodlejši	n á j p ɔ̀ː d l ɛ j ʃ i
najpodobnejši	n á j p ɔ d òː b n ɛ j ʃ i
najpodrobnejši	n á j p ɔ d r óː b n ɛ j ʃ i
najpogosteje	n á j p ɔ ɡ óː s t ɛ j ɛ
najpogostejše	n á j p ɔ ɡ óː s t ɛ j ʃ ɛ
najpogumnejši	n á j p ɔ ɡ ùː m n ɛ j ʃ i
najpolnejši	n á j p ɔ̀ː l n ɛ j ʃ i
najpomembnejši	n á j p ɔ m èː m b n ɛ j ʃ i
najpomembnejši	n á j p ɔ m éː m b n ɛ j ʃ i
najpotrebnejši	n á j p ɔ t r èː b n ɛ j ʃ i
najpotrpežljivejši	n á j p ɔ t ə r p ɛ ʒ l j ìː ʋ ɛ j ʃ i
najpravilneje	n á j p r a ʋ íː l n ɛ j ɛ
najpravilnejše	n á j p r a ʋ íː l n ɛ j ʃ ɛ
najpridnejši	n á j p r ìː d n ɛ j ʃ i
najprijaznejši	n á j p r i j àː z n ɛ j ʃ i
najpustejši	n á j p u s t ɛ́ː j ʃ i
najpustejši	n á j p ùː s t ɛ j ʃ i
najranejši	n á j r àː n ɛ j ʃ i
najravnejši	n á j r àː ʋ n ɛ j ʃ i
najrazličnejši	n á j r a z l ìː t͡ʃ n ɛ j ʃ i
najredkejši	n á j r ɛ t k ɛ́ː j ʃ i
najredkejši	n á j r èː t k ɛ j ʃ i
najresničnejši	n á j r ɛ s n ìː t͡ʃ n ɛ j ʃ i
najresničnejši	n á j r ɛ s n íː t͡ʃ n ɛ j ʃ i
najrevnejši	n á j r èː ʋ n ɛ j ʃ i
najskrivnejši	n á j s k r íː ʋ n ɛ j ʃ i
najskrivnostnejši	n á j s k r i ʋ n óː s t n ɛ j ʃ i
najskromnejši	n á j s k r ɔ̀ː m n ɛ j ʃ i
najslabše	n á j s l áː p ʃ ɛ
najslabši	n á j s l áː p ʃ i
najsladejši	n á j s l a d ɛ́ː j ʃ i
najslajši	n á j s l áː j ʃ i
najsmelejši	n á j s m èː l ɛ j ʃ i
najsodobnejši	n á j s ɔ d ɔ̀ː b n ɛ j ʃ i
najsončnejši	n á j s óː n t͡ʃ n ɛ j ʃ i
najsplošnejši	n á j s p l ɔ̀ː ʃ n ɛ j ʃ i
najspodobnejši	n á j s p ɔ d òː b n ɛ j ʃ i
najsrečnejše	n á j s r èː t͡ʃ n ɛ j ʃ ɛ
najsrečnejše	n á j s r ɛ t͡ʃ n ɛ́ː j ʃ ɛ
najsrečnejši	n á j s r èː t͡ʃ n ɛ j ʃ i
najsrečnejši	n á j s r ɛ t͡ʃ n ɛ́ː j ʃ i
najstarejši	n á j s t a r ɛ́ː j ʃ i
najstrastnejši	n á j s t r àː s t n ɛ j ʃ i
najsvobodnejši	n á j s ʋ ɔ b ɔ̀ː d n ɛ j ʃ i
najtežji	n á j t éː ʒ j i
najti	n àː j t i
najtrši	n á j t ə́ r ʃ i
najusodnejši	n á j u s òː d n ɛ j ʃ i
najustreznejši	n á j u s t r èː z n ɛ j ʃ i
najvarnejši	n á j ʋ àː r n ɛ j ʃ i
največ	n á j ʋ ɛ t͡ʃ
največ	n á j ʋ ɛ́ t͡ʃ
največji	n á j ʋ éː t͡ʃ j i
najvišji	n á j ʋ íː ʃ j i
najzanimivejši	n á j z a n i m ìː ʋ ɛ j ʃ i
najznačilnejši	n á j z n a t͡ʃ íː l n ɛ j ʃ i
najzrelejši	n á j z r èː l ɛ j ʃ i
najzrelejši	n á j z r ɛ l ɛ́ː j ʃ i
najživahnejši	n á j ʒ i ʋ àː x n ɛ j ʃ i
naključje	n a k l j úː t͡ʃ j ɛ
namenilnik	n a m ɛ n íː l n i k
namenoma	n a m èː n ɔ m a
namenoma	n a m éː n ɔ m a
namenoma	n a m èː n ɔ m a
namera	n a m éː r a
Namibija	n a m ìː b i j a
namigovati	n a m i ɡ ɔ ʋ àː t i
nanašati	n a n áː ʃ a t i
nanositi	n a n ɔ s ìː t i
nanositi	n a n ɔ s íː t i
napačen	n a p áː t͡ʃ ə n
napačen	n áː p a t͡ʃ ə n
napad	n a p á t
napaka	n a p áː k a
napisati	n a p ìː s a t i
napisati	n a p i s àː t i
naprava	n a p r áː ʋ a
naprstnik	n a p ə́ r s t n i k
narava	n a r áː ʋ a
naraven	n a r àː ʋ ə n
naravnejši	n a r àː ʋ n ɛ j ʃ i
naravnost	n a r àː ʋ n ɔ s t
naravnost	n a r àː ʋ n ɔ s t
narečje	n a r éː t͡ʃ j ɛ
narediti	n a r ɛ d ìː t i
narediti	n a r ɛ d íː t i
narkolepsija	n a r k ɔ l ɛ p s íː j a
narod	n àː r ɔ t
naslanjač	n a s l a n j àː t͡ʃ
naslednji	n a s l éː d n j i
nasmeh	n a s m ɛ́ x
nasmeh	n a s m éː x
nasmehniti	n a s m èː x n i t i
nastati	n a s t àː t i
Nastja	n áː s t j a
nastroj	n a s t r ɔ́ j
nasvidenje	n a s ʋ íː d ɛ n j ɛ
naš	n á ʃ
natakar	n a t áː k a r
Natalija	n a t àː l i j a
Nataša	n a t áː ʃ a
natrij	n àː t r i j
navada	n a ʋ áː d a
navdih	n a ʋ d íː x
nazaj	n a z àː j
ne	n ɛ́
ne	n ɛ
Neapelj	n ɛ àː p ə l
nebesa	n ɛ b èː s a
nebo	n ɛ b óː
nebotičnik	n ɛ b ɔ t íː t͡ʃ n i k
nečak	n ɛ t͡ʃ àː k
nečakinja	n ɛ t͡ʃ àː k i n j a
nedelja	n ɛ d èː l j a
nedoločnik	n ɛ́ d ɔ l òː t͡ʃ n i k
nedoločnik	n ɛ́ d ɔ l óː t͡ʃ n i k
nedovršen	n ɛ́ d ɔ ʋ ə́ r ʃ ə n
neenakost	n ɛ́ ɛ n àː k ɔ s t
neenakost	n ɛ́ ɛ n áː k ɔ s t
nehati	n éː x a t i
Nehemija	n ɛ x ɛ m íː j a
Neja	n ɛ́ː j a
nekaj	n èː k a j
nekaj	n éː k a j
nekam	n èː k a m
nekdo	n ɛ ɡ d òː
nekdo	n ɛ ɡ d óː
nekdo	n éː ɡ d ɔ
nekje	n ɛ k j èː
nekje	n ɛ k j éː
